Serial Number,WE0281117
Sample ID,00023
Start Time,2023-04-21 13:25:48 UTC
Duration,0:05:52
Total Volume (l),3.17
Distance (m),1434
Peak Pressure (psi),12.5
Avg Flow (l/min),0.5
Avg Rate (mL/m),2.2
Avg Speed (m/s),4.1


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2023-04-21 13:25:48,0,0.00,-0.67,0.00,0.00,4.00,44.749433,-62.421787,-29.0,5.6
2023-04-21 13:25:50,2,0.00,-0.38,0.00,0.00,3.99,44.749488,-62.421850,-30.8,5.6
2023-04-21 13:25:52,4,0.00,-0.18,0.00,0.00,3.99,44.749557,-62.421895,-30.3,5.6
2023-04-21 13:25:54,6,0.00,0.73,0.00,0.00,4.06,44.749610,-62.421977,-35.0,5.6
2023-04-21 13:25:56,8,0.00,2.93,0.00,0.00,4.03,44.749674,-62.422021,-33.9,5.6
2023-04-21 13:25:58,10,0.00,3.42,0.00,0.00,4.01,44.749732,-62.422087,-35.9,5.6
2023-04-21 13:26:00,12,0.00,3.88,0.00,0.00,3.98,44.749812,-62.422101,-29.4,5.6
2023-04-21 13:26:02,14,0.00,4.14,0.00,0.00,3.98,44.749874,-62.422156,-29.4,5.6
2023-04-21 13:26:04,16,0.00,4.37,0.00,0.00,4.02,44.749942,-62.422203,-28.3,5.6
2023-04-21 13:26:06,18,0.00,6.45,0.00,0.00,4.01,44.750002,-62.422270,-28.9,5.6
2023-04-21 13:26:08,20,0.00,9.75,0.11,0.45,4.05,44.750051,-62.422360,-33.2,5.6
2023-04-21 13:26:10,22,0.03,10.48,0.52,2.14,4.05,44.750118,-62.422407,-32.7,5.6
2023-04-21 13:26:12,24,0.06,10.83,0.72,2.98,4.03,44.750175,-62.422469,-34.5,5.6
2023-04-21 13:26:14,26,0.08,11.00,0.82,3.40,4.02,44.750231,-62.422534,-35.4,5.6
2023-04-21 13:26:16,28,0.11,10.91,0.84,3.46,4.04,44.750298,-62.422582,-34.0,5.6
2023-04-21 13:26:18,30,0.14,11.09,0.87,3.59,4.04,44.750375,-62.422605,-30.0,5.6
2023-04-21 13:26:20,32,0.17,11.30,0.86,3.55,4.03,44.750497,-62.422581,-20.0,5.6
2023-04-21 13:26:22,34,0.20,11.37,0.87,3.58,4.05,44.750582,-62.422610,-16.0,5.6
2023-04-21 13:26:24,36,0.23,11.42,0.86,3.52,4.07,44.750654,-62.422651,-14.4,5.6
2023-04-21 13:26:26,38,0.26,11.48,0.83,3.39,4.08,44.750726,-62.422698,-13.3,5.6
2023-04-21 13:26:28,40,0.28,11.44,0.84,3.42,4.09,44.750790,-62.422751,-12.9,5.6
2023-04-21 13:26:30,42,0.31,11.47,0.83,3.38,4.09,44.750855,-62.422806,-12.4,5.6
2023-04-21 13:26:32,44,0.34,11.48,0.80,3.25,4.10,44.750919,-62.422849,-11.7,5.6
2023-04-21 13:26:34,46,0.36,11.57,0.80,3.27,4.08,44.750981,-62.422900,-11.2,5.6
2023-04-21 13:26:36,48,0.39,11.57,0.83,3.41,4.05,44.751033,-62.422965,-12.7,5.6
2023-04-21 13:26:38,50,0.42,11.54,0.85,3.49,4.06,44.751093,-62.423024,-13.2,5.6
2023-04-21 13:26:40,52,0.45,11.56,0.85,3.48,4.07,44.751151,-62.423091,-14.6,5.6
2023-04-21 13:26:42,54,0.48,11.59,0.83,3.40,4.07,44.751210,-62.423154,-17.4,5.6
2023-04-21 13:26:44,56,0.50,11.60,0.83,3.42,4.05,44.751261,-62.423225,-20.0,5.6
2023-04-21 13:26:46,58,0.53,11.59,0.82,3.38,4.04,44.751316,-62.423291,-21.8,5.6
2023-04-21 13:26:48,60,0.56,11.59,0.81,3.33,4.05,44.751378,-62.423341,-21.9,5.6
2023-04-21 13:26:50,62,0.59,11.64,0.80,3.29,4.05,44.751437,-62.423402,-21.8,5.6
2023-04-21 13:26:52,64,0.61,11.65,0.79,3.25,4.05,44.751502,-62.423441,-20.3,5.6
2023-04-21 13:26:54,66,0.64,11.70,0.79,3.25,4.05,44.751558,-62.423498,-21.0,5.6
2023-04-21 13:26:56,68,0.66,11.65,0.77,3.15,4.07,44.751616,-62.423560,-22.4,5.6
2023-04-21 13:26:58,70,0.69,11.74,0.78,3.20,4.06,44.751683,-62.423601,-20.4,5.6
2023-04-21 13:27:00,72,0.71,11.65,0.75,3.10,4.03,44.751738,-62.423661,-21.6,5.6
2023-04-21 13:27:02,74,0.74,11.70,0.77,3.18,4.03,44.751805,-62.423707,-20.3,5.6
2023-04-21 13:27:04,76,0.77,11.55,0.77,3.17,4.05,44.751871,-62.423753,-19.9,5.6
2023-04-21 13:27:06,78,0.78,12.51,0.60,2.48,4.04,44.751934,-62.423805,-19.6,5.6
2023-04-21 13:27:08,80,0.79,11.52,0.44,1.82,4.02,44.751975,-62.423883,-19.7,5.6
2023-04-21 13:27:10,82,0.82,11.57,0.62,2.56,4.03,44.752036,-62.423940,-21.1,5.6
2023-04-21 13:27:12,84,0.84,11.56,0.72,2.99,4.02,44.752096,-62.423996,-22.9,5.6
2023-04-21 13:27:14,86,0.87,11.60,0.73,3.03,4.01,44.752151,-62.424056,-25.4,5.6
2023-04-21 13:27:16,88,0.90,11.71,0.77,3.23,3.98,44.752207,-62.424110,-26.3,5.6
2023-04-21 13:27:18,90,0.92,11.73,0.77,3.21,3.99,44.752269,-62.424165,-27.8,5.6
2023-04-21 13:27:20,92,0.95,11.75,0.78,3.23,4.03,44.752333,-62.424216,-28.9,5.6
2023-04-21 13:27:22,94,0.97,11.74,0.75,3.14,3.98,44.752403,-62.424255,-29.4,5.6
2023-04-21 13:27:24,96,1.00,11.75,0.74,3.11,3.96,44.752483,-62.424278,-26.3,5.6
2023-04-21 13:27:26,98,1.02,11.77,0.75,3.13,3.99,44.752553,-62.424322,-25.0,5.6
2023-04-21 13:27:28,100,1.05,11.77,0.73,3.04,4.00,44.752618,-62.424373,-26.2,5.6
2023-04-21 13:27:30,102,1.07,11.81,0.72,3.02,3.97,44.752688,-62.424408,-25.2,5.6
2023-04-21 13:27:32,104,1.09,11.75,0.71,2.98,3.97,44.752756,-62.424448,-24.1,5.6
2023-04-21 13:27:34,106,1.12,11.81,0.71,2.95,4.00,44.752830,-62.424487,-23.0,5.6
2023-04-21 13:27:36,108,1.14,11.76,0.70,2.91,4.02,44.752894,-62.424536,-23.5,5.6
2023-04-21 13:27:38,110,1.16,11.76,0.69,2.87,4.00,44.752960,-62.424584,-24.2,5.6
2023-04-21 13:27:40,112,1.19,11.82,0.69,2.91,3.95,44.753020,-62.424631,-25.0,5.6
2023-04-21 13:27:42,114,1.21,11.85,0.69,2.88,3.99,44.753077,-62.424694,-28.2,5.6
2023-04-21 13:27:44,116,1.23,11.85,0.67,2.79,4.01,44.753149,-62.424729,-26.5,5.6
2023-04-21 13:27:46,118,1.25,11.81,0.67,2.80,3.99,44.753213,-62.424773,-25.1,5.6
2023-04-21 13:27:48,120,1.28,11.88,0.67,2.79,4.01,44.753277,-62.424816,-24.5,5.6
2023-04-21 13:27:50,122,1.30,11.86,0.67,2.76,4.04,44.753346,-62.424851,-22.9,5.6
2023-04-21 13:27:52,124,1.32,11.86,0.66,2.73,4.02,44.753407,-62.424897,-22.5,5.6
2023-04-21 13:27:54,126,1.34,11.85,0.64,2.67,4.00,44.753470,-62.424946,-22.4,5.6
2023-04-21 13:27:56,128,1.36,11.88,0.65,2.69,4.03,44.753537,-62.424989,-21.1,5.6
2023-04-21 13:27:58,130,1.38,11.86,0.63,2.61,4.02,44.753592,-62.425048,-20.7,5.6
2023-04-21 13:28:00,132,1.40,11.81,0.62,2.55,4.06,44.753643,-62.425126,-23.6,5.6
2023-04-21 13:28:02,134,1.43,11.87,0.64,2.62,4.07,44.753709,-62.425178,-24.8,5.6
2023-04-21 13:28:04,136,1.45,11.91,0.63,2.59,4.06,44.753767,-62.425239,-26.4,5.6
2023-04-21 13:28:06,138,1.47,11.89,0.62,2.54,4.06,44.753830,-62.425292,-27.2,5.6
2023-04-21 13:28:08,140,1.49,11.91,0.63,2.57,4.09,44.753898,-62.425344,-28.4,5.6
2023-04-21 13:28:10,142,1.51,11.87,0.62,2.54,4.07,44.753960,-62.425389,-28.3,5.6
2023-04-21 13:28:12,144,1.53,11.92,0.61,2.49,4.09,44.754024,-62.425433,-28.3,5.6
2023-04-21 13:28:14,146,1.55,11.87,0.61,2.48,4.10,44.754096,-62.425470,-27.1,5.6
2023-04-21 13:28:16,148,1.57,11.91,0.60,2.43,4.11,44.754173,-62.425499,-24.6,5.6
2023-04-21 13:28:18,150,1.59,11.91,0.61,2.46,4.13,44.754247,-62.425535,-23.8,5.6
2023-04-21 13:28:20,152,1.61,11.93,0.61,2.45,4.15,44.754313,-62.425591,-25.9,5.6
2023-04-21 13:28:22,154,1.63,12.17,0.61,2.46,4.14,44.754388,-62.425619,-23.8,5.6
2023-04-21 13:28:24,156,1.65,11.87,0.56,2.24,4.17,44.754460,-62.425660,-24.2,5.6
2023-04-21 13:28:26,158,1.67,11.86,0.54,2.17,4.14,44.754526,-62.425697,-23.7,5.6
2023-04-21 13:28:28,160,1.69,11.92,0.57,2.30,4.13,44.754587,-62.425756,-23.6,5.6
2023-04-21 13:28:30,162,1.71,11.93,0.58,2.33,4.16,44.754651,-62.425811,-23.5,5.6
2023-04-21 13:28:32,164,1.72,11.85,0.56,2.24,4.16,44.754713,-62.425865,-24.6,5.6
2023-04-21 13:28:34,166,1.74,11.83,0.54,2.17,4.14,44.754767,-62.425924,-24.8,5.6
2023-04-21 13:28:36,168,1.76,11.91,0.56,2.26,4.13,44.754837,-62.425964,-23.1,5.6
2023-04-21 13:28:38,170,1.78,11.92,0.55,2.22,4.13,44.754904,-62.426015,-23.1,5.6
2023-04-21 13:28:40,172,1.80,11.94,0.54,2.20,4.10,44.754963,-62.426067,-25.2,5.6
2023-04-21 13:28:42,174,1.81,11.98,0.54,2.20,4.09,44.755028,-62.426107,-23.8,5.6
2023-04-21 13:28:44,176,1.83,11.98,0.55,2.25,4.07,44.755103,-62.426131,-21.3,5.6
2023-04-21 13:28:46,178,1.85,11.99,0.55,2.25,4.07,44.755166,-62.426174,-20.8,5.6
2023-04-21 13:28:48,180,1.87,11.97,0.54,2.23,4.04,44.755224,-62.426233,-21.7,5.6
2023-04-21 13:28:50,182,1.89,11.95,0.54,2.23,4.03,44.755297,-62.426270,-19.9,5.6
2023-04-21 13:28:52,184,1.91,11.98,0.54,2.25,4.01,44.755350,-62.426334,-22.3,5.6
2023-04-21 13:28:54,186,1.92,12.02,0.53,2.20,4.01,44.755408,-62.426380,-21.5,5.6
2023-04-21 13:28:56,188,1.94,12.02,0.53,2.21,4.00,44.755484,-62.426416,-22.5,5.6
2023-04-21 13:28:58,190,1.96,12.07,0.54,2.25,3.99,44.755548,-62.426475,-24.5,5.6
2023-04-21 13:29:00,192,1.98,12.05,0.52,2.17,3.99,44.755602,-62.426533,-25.1,5.6
2023-04-21 13:29:02,194,1.99,12.07,0.51,2.12,4.01,44.755671,-62.426573,-22.9,5.6
2023-04-21 13:29:04,196,2.01,12.04,0.51,2.12,4.01,44.755744,-62.426621,-23.1,5.6
2023-04-21 13:29:06,198,2.03,12.08,0.51,2.10,4.04,44.755806,-62.426691,-26.6,5.6
2023-04-21 13:29:08,200,2.05,12.08,0.52,2.14,4.04,44.755879,-62.426727,-26.3,5.6
2023-04-21 13:29:10,202,2.06,12.05,0.53,2.19,4.03,44.755934,-62.426805,-28.7,5.6
2023-04-21 13:29:12,204,2.08,12.05,0.51,2.11,4.03,44.755971,-62.426890,-33.7,5.6
2023-04-21 13:29:14,206,2.10,12.05,0.51,2.09,4.06,44.756052,-62.426898,-29.6,5.6
2023-04-21 13:29:16,208,2.11,12.07,0.51,2.09,4.07,44.756127,-62.426924,-28.1,5.6
2023-04-21 13:29:18,210,2.13,12.08,0.49,2.01,4.07,44.756208,-62.426958,-26.5,5.6
2023-04-21 13:29:20,212,2.15,12.05,0.50,2.04,4.09,44.756279,-62.426992,-24.4,5.6
2023-04-21 13:29:22,214,2.16,12.07,0.50,2.03,4.10,44.756349,-62.427027,-25.4,5.6
2023-04-21 13:29:24,216,2.18,12.09,0.49,2.01,4.06,44.756420,-62.427058,-23.5,5.6
2023-04-21 13:29:26,218,2.20,12.05,0.48,1.98,4.04,44.756476,-62.427110,-24.1,5.6
2023-04-21 13:29:28,220,2.21,12.03,0.50,2.06,4.04,44.756541,-62.427155,-24.7,5.6
2023-04-21 13:29:30,222,2.23,12.03,0.48,1.99,4.03,44.756598,-62.427212,-26.3,5.6
2023-04-21 13:29:32,224,2.24,11.98,0.48,1.97,4.06,44.756686,-62.427237,-23.2,5.6
2023-04-21 13:29:34,226,2.26,12.03,0.51,2.09,4.07,44.756753,-62.427283,-24.6,5.6
2023-04-21 13:29:36,228,2.28,12.02,0.50,2.07,4.02,44.756819,-62.427316,-23.8,5.6
2023-04-21 13:29:38,230,2.29,12.06,0.47,1.94,4.04,44.756878,-62.427383,-26.3,5.6
2023-04-21 13:29:40,232,2.31,12.03,0.49,2.02,4.05,44.756948,-62.427427,-27.5,5.6
2023-04-21 13:29:42,234,2.33,12.05,0.50,2.07,4.02,44.757019,-62.427453,-24.1,5.6
2023-04-21 13:29:44,236,2.34,12.06,0.49,2.03,4.03,44.757075,-62.427508,-24.3,5.6
2023-04-21 13:29:46,238,2.36,12.02,0.50,2.07,4.02,44.757135,-62.427559,-24.4,5.6
2023-04-21 13:29:48,240,2.38,12.02,0.50,2.09,3.99,44.757206,-62.427583,-23.1,5.6
2023-04-21 13:29:50,242,2.39,11.95,0.47,1.97,3.98,44.757265,-62.427631,-23.9,5.6
2023-04-21 13:29:52,244,2.41,12.02,0.46,1.92,4.00,44.757332,-62.427688,-25.0,5.6
2023-04-21 13:29:54,246,2.42,11.97,0.47,1.96,4.00,44.757408,-62.427727,-24.2,5.6
2023-04-21 13:29:56,248,2.44,12.02,0.42,1.73,4.04,44.757475,-62.427774,-24.1,5.6
2023-04-21 13:29:58,250,2.45,11.99,0.41,1.71,4.01,44.757541,-62.427815,-23.4,5.6
2023-04-21 13:30:00,252,2.47,12.01,0.46,1.92,3.99,44.757674,-62.427793,-16.1,5.6
2023-04-21 13:30:02,254,2.48,12.02,0.46,1.91,4.02,44.757742,-62.427841,-16.2,5.6
2023-04-21 13:30:04,256,2.50,12.02,0.45,1.86,4.04,44.757812,-62.427889,-17.6,5.6
