Serial Number,WE0281117
Sample ID,00034
Start Time,2023-04-21 15:44:15 UTC
Duration,0:07:07
Total Volume (l),3.13
Distance (m),1665
Peak Pressure (psi),12.6
Avg Flow (l/min),0.4
Avg Rate (mL/m),1.9
Avg Speed (m/s),3.9


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2023-04-21 15:44:15,0,0.00,-0.48,0.00,0.00,2.86,44.820947,-62.483468,3.5,3.0
2023-04-21 15:44:17,2,0.00,-0.17,0.11,0.64,2.89,44.820939,-62.483542,3.9,3.0
2023-04-21 15:44:19,4,0.01,-0.10,0.11,0.63,2.91,44.820924,-62.483618,3.4,3.0
2023-04-21 15:44:21,6,0.01,2.31,0.07,0.40,2.94,44.820912,-62.483694,3.4,7.2
2023-04-21 15:44:23,8,0.01,3.29,0.03,0.17,2.98,44.820900,-62.483773,3.3,7.2
2023-04-21 15:44:25,10,0.01,3.67,0.01,0.06,3.02,44.820885,-62.483852,3.0,7.2
2023-04-21 15:44:27,12,0.01,3.99,0.00,0.00,3.08,44.820870,-62.483936,2.3,7.2
2023-04-21 15:44:29,14,0.01,4.25,0.00,0.00,3.13,44.820855,-62.484020,2.0,7.2
2023-04-21 15:44:31,16,0.01,4.66,0.00,0.00,3.18,44.820842,-62.484107,1.4,4.7
2023-04-21 15:44:33,18,0.01,4.67,0.00,0.00,3.25,44.820831,-62.484197,1.7,4.7
2023-04-21 15:44:35,20,0.01,9.73,0.00,0.00,3.30,44.820815,-62.484284,2.7,4.7
2023-04-21 15:44:37,22,0.03,10.75,0.45,2.25,3.37,44.820802,-62.484379,2.6,4.7
2023-04-21 15:44:39,24,0.05,11.12,0.66,3.25,3.41,44.820785,-62.484465,3.4,4.7
2023-04-21 15:44:41,26,0.08,11.26,0.78,3.77,3.48,44.820770,-62.484554,3.9,4.7
2023-04-21 15:44:43,28,0.11,11.35,0.82,3.91,3.51,44.820757,-62.484638,5.0,4.7
2023-04-21 15:44:45,30,0.14,11.07,0.82,3.87,3.53,44.820739,-62.484721,5.1,4.7
2023-04-21 15:44:47,32,0.17,11.58,0.85,4.00,3.56,44.820725,-62.484816,4.9,4.7
2023-04-21 15:44:49,34,0.19,11.60,0.82,3.82,3.59,44.820711,-62.484909,5.4,4.7
2023-04-21 15:44:51,36,0.22,11.67,0.83,3.84,3.61,44.820686,-62.484992,5.5,3.0
2023-04-21 15:44:53,38,0.25,11.63,0.81,3.74,3.62,44.820672,-62.485079,6.2,3.0
2023-04-21 15:44:55,40,0.27,11.68,0.79,3.63,3.63,44.820650,-62.485166,6.0,3.0
2023-04-21 15:44:57,42,0.30,11.69,0.78,3.59,3.63,44.820633,-62.485254,6.5,3.0
2023-04-21 15:44:59,44,0.33,11.70,0.79,3.62,3.64,44.820615,-62.485346,6.9,3.0
2023-04-21 15:45:01,46,0.35,11.68,0.75,3.43,3.65,44.820597,-62.485438,6.5,3.0
2023-04-21 15:45:03,48,0.38,11.68,0.75,3.40,3.68,44.820574,-62.485523,5.9,3.0
2023-04-21 15:45:05,50,0.40,11.75,0.75,3.38,3.72,44.820556,-62.485619,6.1,3.0
2023-04-21 15:45:07,52,0.43,11.74,0.74,3.30,3.75,44.820539,-62.485714,5.8,3.0
2023-04-21 15:45:09,54,0.45,11.79,0.74,3.28,3.77,44.820520,-62.485812,4.9,3.0
2023-04-21 15:45:11,56,0.48,11.77,0.73,3.21,3.80,44.820504,-62.485912,4.3,3.0
2023-04-21 15:45:13,58,0.50,11.71,0.71,3.10,3.83,44.820483,-62.486004,3.9,3.0
2023-04-21 15:45:15,60,0.52,11.77,0.72,3.11,3.88,44.820473,-62.486107,3.7,3.0
2023-04-21 15:45:17,62,0.55,11.78,0.70,2.99,3.92,44.820459,-62.486211,3.4,3.0
2023-04-21 15:45:19,64,0.57,11.82,0.71,3.00,3.95,44.820450,-62.486307,4.6,3.0
2023-04-21 15:45:21,66,0.59,11.80,0.69,2.91,3.96,44.820443,-62.486406,5.9,3.0
2023-04-21 15:45:23,68,0.62,11.72,0.69,2.90,3.97,44.820430,-62.486508,5.6,3.0
2023-04-21 15:45:25,70,0.64,11.77,0.67,2.80,4.00,44.820415,-62.486621,4.2,3.0
2023-04-21 15:45:27,72,0.66,11.83,0.69,2.87,4.02,44.820400,-62.486728,3.2,3.0
2023-04-21 15:45:29,74,0.68,11.84,0.67,2.77,4.04,44.820385,-62.486833,2.9,3.0
2023-04-21 15:45:31,76,0.71,11.80,0.66,2.72,4.05,44.820370,-62.486936,2.2,3.0
2023-04-21 15:45:33,78,0.73,11.86,0.67,2.75,4.07,44.820358,-62.487040,1.9,3.0
2023-04-21 15:45:35,80,0.75,11.89,0.68,2.79,4.08,44.820347,-62.487141,2.8,3.0
2023-04-21 15:45:37,82,0.77,11.92,0.66,2.69,4.09,44.820333,-62.487241,2.6,3.0
2023-04-21 15:45:39,84,0.80,11.97,0.67,2.73,4.09,44.820315,-62.487338,3.3,3.0
2023-04-21 15:45:41,86,0.82,11.97,0.66,2.68,4.12,44.820304,-62.487442,4.3,4.6
2023-04-21 15:45:43,88,0.84,11.96,0.65,2.62,4.13,44.820289,-62.487542,4.4,4.6
2023-04-21 15:45:45,90,0.86,11.97,0.65,2.63,4.11,44.820267,-62.487639,4.0,4.6
2023-04-21 15:45:47,92,0.88,11.97,0.64,2.58,4.14,44.820249,-62.487750,3.4,4.6
2023-04-21 15:45:49,94,0.90,11.97,0.64,2.58,4.14,44.820234,-62.487852,2.5,4.6
2023-04-21 15:45:51,96,0.92,11.98,0.63,2.54,4.14,44.820225,-62.487954,2.7,4.6
2023-04-21 15:45:53,98,0.95,11.96,0.62,2.50,4.13,44.820220,-62.488057,2.8,4.6
2023-04-21 15:45:55,100,0.97,11.96,0.63,2.54,4.13,44.820202,-62.488163,1.1,4.6
2023-04-21 15:45:57,102,0.99,12.00,0.61,2.46,4.11,44.820188,-62.488261,1.1,4.6
2023-04-21 15:45:59,104,1.01,12.00,0.62,2.50,4.14,44.820177,-62.488368,1.5,4.6
2023-04-21 15:46:01,106,1.03,12.03,0.60,2.42,4.13,44.820168,-62.488474,0.5,4.6
2023-04-21 15:46:03,108,1.05,11.97,0.60,2.42,4.12,44.820165,-62.488578,0.2,4.6
2023-04-21 15:46:05,110,1.07,12.00,0.58,2.34,4.13,44.820165,-62.488681,-0.1,4.6
2023-04-21 15:46:07,112,1.09,12.02,0.59,2.39,4.08,44.820167,-62.488774,0.1,4.6
2023-04-21 15:46:09,114,1.11,12.03,0.59,2.41,4.07,44.820171,-62.488870,-1.0,4.6
2023-04-21 15:46:11,116,1.12,12.03,0.58,2.38,4.05,44.820180,-62.488966,-0.9,4.6
2023-04-21 15:46:13,118,1.14,12.08,0.57,2.35,4.03,44.820185,-62.489063,-0.8,4.6
2023-04-21 15:46:15,120,1.16,12.07,0.56,2.32,4.01,44.820190,-62.489160,-1.4,4.6
2023-04-21 15:46:17,122,1.18,12.08,0.57,2.37,4.01,44.820196,-62.489255,-1.0,4.6
2023-04-21 15:46:19,124,1.20,12.09,0.56,2.34,3.97,44.820206,-62.489350,-1.0,4.6
2023-04-21 15:46:21,126,1.22,12.08,0.56,2.35,3.96,44.820227,-62.489443,0.1,4.6
2023-04-21 15:46:23,128,1.24,12.08,0.55,2.32,3.95,44.820242,-62.489541,0.0,4.6
2023-04-21 15:46:25,130,1.26,12.10,0.56,2.36,3.95,44.820255,-62.489638,-0.6,4.6
2023-04-21 15:46:27,132,1.27,12.07,0.54,2.27,3.95,44.820267,-62.489733,-0.9,4.6
2023-04-21 15:46:29,134,1.29,12.08,0.54,2.28,3.95,44.820280,-62.489832,-1.7,4.6
2023-04-21 15:46:31,136,1.31,12.11,0.53,2.23,3.97,44.820293,-62.489927,-1.9,4.6
2023-04-21 15:46:33,138,1.33,12.09,0.53,2.22,3.98,44.820305,-62.490026,-2.2,4.6
2023-04-21 15:46:35,140,1.34,12.12,0.52,2.17,3.99,44.820323,-62.490121,-2.4,4.6
2023-04-21 15:46:37,142,1.36,12.13,0.51,2.13,4.00,44.820342,-62.490216,-2.4,4.6
2023-04-21 15:46:39,144,1.38,12.13,0.51,2.12,4.00,44.820359,-62.490307,-2.0,4.6
2023-04-21 15:46:41,146,1.40,12.15,0.52,2.17,4.01,44.820378,-62.490400,-1.2,4.6
2023-04-21 15:46:43,148,1.41,12.08,0.50,2.08,4.00,44.820394,-62.490497,-2.2,4.6
2023-04-21 15:46:45,150,1.43,12.11,0.50,2.08,4.01,44.820410,-62.490600,-3.1,4.6
2023-04-21 15:46:47,152,1.45,12.15,0.50,2.09,4.01,44.820430,-62.490700,-3.6,4.6
2023-04-21 15:46:49,154,1.46,12.12,0.50,2.07,4.02,44.820456,-62.490793,-2.8,4.6
2023-04-21 15:46:51,156,1.48,12.14,0.49,2.03,4.02,44.820486,-62.490882,-1.8,3.0
2023-04-21 15:46:53,158,1.50,12.17,0.50,2.08,3.98,44.820511,-62.490976,-1.5,3.0
2023-04-21 15:46:55,160,1.51,12.19,0.49,2.06,3.97,44.820535,-62.491081,-2.1,3.0
2023-04-21 15:46:57,162,1.53,12.18,0.49,2.06,3.96,44.820562,-62.491168,-2.2,3.0
2023-04-21 15:46:59,164,1.55,12.19,0.49,2.07,3.95,44.820596,-62.491257,-1.0,3.0
2023-04-21 15:47:01,166,1.56,12.24,0.49,2.06,3.95,44.820628,-62.491345,-1.2,4.6
2023-04-21 15:47:03,168,1.58,12.23,0.48,2.02,3.95,44.820659,-62.491431,-1.4,4.6
2023-04-21 15:47:05,170,1.59,12.22,0.48,2.02,3.96,44.820697,-62.491515,-0.9,4.6
2023-04-21 15:47:07,172,1.61,12.23,0.48,2.02,3.94,44.820726,-62.491596,-0.4,4.6
2023-04-21 15:47:09,174,1.63,12.24,0.47,1.99,3.94,44.820759,-62.491692,-1.9,4.6
2023-04-21 15:47:11,176,1.64,12.27,0.47,1.99,3.94,44.820794,-62.491780,-2.4,4.6
2023-04-21 15:47:13,178,1.66,12.24,0.47,1.99,3.96,44.820824,-62.491866,-3.3,4.6
2023-04-21 15:47:15,180,1.67,12.24,0.45,1.90,3.95,44.820855,-62.491950,-3.1,4.6
2023-04-21 15:47:17,182,1.69,12.27,0.48,2.02,3.95,44.820895,-62.492030,-2.5,4.6
2023-04-21 15:47:19,184,1.70,12.25,0.48,2.02,3.96,44.820937,-62.492107,-1.1,4.6
2023-04-21 15:47:21,186,1.72,12.27,0.45,1.90,3.94,44.820974,-62.492188,-1.2,4.6
2023-04-21 15:47:23,188,1.73,12.29,0.45,1.90,3.93,44.821015,-62.492263,-0.8,4.6
2023-04-21 15:47:26,191,1.75,12.29,0.46,1.95,3.93,44.821059,-62.492342,-0.4,4.6
2023-04-21 15:47:28,193,1.76,12.30,0.47,1.99,3.94,44.821105,-62.492424,-0.9,4.6
2023-04-21 15:47:30,195,1.78,12.30,0.45,1.91,3.92,44.821149,-62.492504,-2.0,4.6
2023-04-21 15:47:32,197,1.79,12.22,0.45,1.91,3.91,44.821200,-62.492579,-1.4,3.0
2023-04-21 15:47:34,199,1.81,12.29,0.45,1.92,3.93,44.821251,-62.492658,-1.9,3.0
2023-04-21 15:47:36,201,1.82,12.31,0.46,1.95,3.93,44.821298,-62.492739,-1.8,3.0
2023-04-21 15:47:38,203,1.84,12.31,0.45,1.91,3.93,44.821341,-62.492820,-2.5,3.0
2023-04-21 15:47:40,205,1.85,12.29,0.45,1.91,3.92,44.821394,-62.492890,-2.2,3.0
2023-04-21 15:47:42,207,1.87,12.35,0.45,1.91,3.92,44.821450,-62.492959,-1.2,2.8
2023-04-21 15:47:44,209,1.88,12.30,0.44,1.87,3.93,44.821501,-62.493029,-1.1,2.8
2023-04-21 15:47:46,211,1.90,12.34,0.44,1.87,3.92,44.821554,-62.493094,-0.6,2.8
2023-04-21 15:47:48,213,1.91,12.31,0.44,1.87,3.92,44.821607,-62.493161,0.0,2.8
2023-04-21 15:47:50,215,1.93,12.35,0.42,1.79,3.92,44.821665,-62.493227,0.7,2.8
2023-04-21 15:47:52,217,1.94,12.31,0.42,1.79,3.92,44.821718,-62.493294,0.5,2.8
2023-04-21 15:47:54,219,1.96,12.35,0.44,1.87,3.93,44.821773,-62.493360,0.5,2.8
2023-04-21 15:47:56,221,1.97,12.26,0.43,1.82,3.94,44.821831,-62.493424,0.1,2.8
2023-04-21 15:47:58,223,1.98,12.36,0.43,1.82,3.93,44.821888,-62.493490,-0.4,2.8
2023-04-21 15:48:00,225,2.00,12.37,0.43,1.82,3.94,44.821946,-62.493554,-0.5,2.8
2023-04-21 15:48:02,227,2.01,12.33,0.42,1.77,3.95,44.822007,-62.493622,-0.7,3.0
2023-04-21 15:48:04,229,2.03,12.35,0.42,1.77,3.95,44.822067,-62.493687,-0.3,3.0
2023-04-21 15:48:06,231,2.04,12.34,0.42,1.77,3.97,44.822126,-62.493751,-0.1,3.0
2023-04-21 15:48:08,233,2.05,12.28,0.41,1.72,3.97,44.822185,-62.493814,0.1,3.0
2023-04-21 15:48:10,235,2.07,12.34,0.43,1.80,3.99,44.822242,-62.493876,-0.0,3.0
2023-04-21 15:48:12,237,2.08,12.36,0.42,1.75,4.00,44.822298,-62.493937,0.2,2.9
2023-04-21 15:48:14,239,2.10,12.40,0.42,1.76,3.97,44.822354,-62.493995,0.4,2.9
2023-04-21 15:48:16,241,2.11,12.35,0.40,1.68,3.97,44.822405,-62.494055,-0.1,2.9
2023-04-21 15:48:18,243,2.12,12.37,0.40,1.68,3.99,44.822462,-62.494109,0.7,2.9
2023-04-21 15:48:20,245,2.14,12.29,0.38,1.58,4.00,44.822523,-62.494171,0.4,2.9
2023-04-21 15:48:22,247,2.15,12.40,0.39,1.62,4.00,44.822578,-62.494231,0.3,6.1
2023-04-21 15:48:24,249,2.16,12.42,0.39,1.62,4.02,44.822633,-62.494290,0.9,6.1
2023-04-21 15:48:26,251,2.18,12.40,0.39,1.63,4.00,44.822689,-62.494350,0.8,6.1
2023-04-21 15:48:28,253,2.19,12.40,0.39,1.63,3.98,44.822746,-62.494408,0.5,6.1
2023-04-21 15:48:30,255,2.20,12.40,0.39,1.63,3.99,44.822800,-62.494467,0.4,6.1
2023-04-21 15:48:32,257,2.21,12.46,0.40,1.67,3.98,44.822851,-62.494528,-0.0,4.5
2023-04-21 15:48:34,259,2.23,12.46,0.39,1.63,3.99,44.822905,-62.494591,-0.4,4.5
2023-04-21 15:48:36,261,2.24,12.46,0.39,1.62,4.00,44.822963,-62.494651,-0.6,4.5
2023-04-21 15:48:38,263,2.25,12.41,0.37,1.54,4.00,44.823020,-62.494709,-1.2,4.5
2023-04-21 15:48:40,265,2.27,12.44,0.38,1.59,3.98,44.823079,-62.494762,-1.5,4.5
2023-04-21 15:48:42,267,2.28,12.47,0.39,1.63,4.01,44.823143,-62.494814,-1.3,4.5
2023-04-21 15:48:44,269,2.29,12.45,0.38,1.59,4.00,44.823206,-62.494866,-1.2,4.5
2023-04-21 15:48:46,271,2.30,12.47,0.37,1.54,4.01,44.823262,-62.494915,-1.8,4.5
2023-04-21 15:48:48,273,2.32,12.41,0.37,1.54,4.03,44.823322,-62.494961,-1.8,4.5
2023-04-21 15:48:50,275,2.33,12.36,0.37,1.53,4.03,44.823387,-62.495013,-1.6,4.5
2023-04-21 15:48:52,277,2.34,12.41,0.36,1.49,4.04,44.823455,-62.495057,-1.6,2.9
