Serial Number,WE0281117
Sample ID,00042
Start Time,2023-04-21 16:41:03 UTC
Duration,0:00:30
Total Volume (l),0.0
Distance (m),28
Peak Pressure (psi),2.0
Avg Flow (l/min),0.0
Avg Rate (mL/m),0.0
Avg Speed (m/s),0.9


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2023-04-21 16:41:03,0,0.00,1.97,0.00,0.00,0.92,44.903193,-62.503548,8.1,7.1
2023-04-21 16:41:05,2,0.00,0.12,0.00,0.00,0.93,44.903169,-62.503551,7.5,7.1
2023-04-21 16:41:07,4,0.00,0.25,0.00,0.00,0.87,44.903247,-62.503580,6.9,6.5
2023-04-21 16:41:09,6,0.00,-0.01,0.00,0.00,0.82,44.903263,-62.503592,6.5,6.5
2023-04-21 16:41:11,8,0.00,0.18,0.00,0.00,0.77,44.903303,-62.503615,5.5,6.5
2023-04-21 16:41:13,10,0.00,0.30,0.00,0.00,0.72,44.903303,-62.503628,4.7,6.5
2023-04-21 16:41:15,12,0.00,0.31,0.00,0.00,0.70,44.903362,-62.503638,4.2,6.5
2023-04-21 16:41:17,14,0.00,0.32,0.00,0.00,0.76,44.903399,-62.503668,3.9,8.2
2023-04-21 16:41:19,16,0.00,0.34,0.00,0.00,0.81,44.903423,-62.503679,3.8,8.2
2023-04-21 16:41:21,18,0.00,0.34,0.00,0.00,0.88,44.903453,-62.503689,3.5,8.2
2023-04-21 16:41:23,20,0.00,0.37,0.00,0.00,0.93,44.903360,-62.503697,3.3,8.2
2023-04-21 16:41:25,22,0.00,0.35,0.00,0.00,0.94,44.903370,-62.503704,3.3,8.2
2023-04-21 16:41:27,24,0.00,0.36,0.00,0.00,0.92,44.903283,-62.503681,2.9,13.8
2023-04-21 16:41:29,26,0.00,0.39,0.00,0.00,0.92,44.903283,-62.503681,2.9,13.8
2023-04-21 16:41:31,28,0.00,0.33,0.00,0.00,0.92,44.903283,-62.503681,2.9,13.8
2023-04-21 16:41:33,30,0.00,0.35,0.00,0.00,1.00,44.903297,-62.503572,2.4,13.8
