Serial Number,WE0281117
Sample ID,00028
Start Time,2023-04-21 14:09:24 UTC
Duration,0:05:40
Total Volume (l),1.89
Distance (m),1217
Peak Pressure (psi),12.1
Avg Flow (l/min),0.3
Avg Rate (mL/m),1.6
Avg Speed (m/s),3.6


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2023-04-21 14:09:24,0,0.00,-0.58,0.00,0.00,2.58,44.767516,-62.438402,-10.5,2.8
2023-04-21 14:09:26,2,0.00,-0.15,0.02,0.13,2.68,44.767516,-62.438480,-10.8,2.8
2023-04-21 14:09:28,4,0.00,0.09,0.00,0.00,2.73,44.767521,-62.438564,-10.3,2.8
2023-04-21 14:09:30,6,0.00,2.53,0.00,0.00,2.81,44.767522,-62.438654,-8.7,2.8
2023-04-21 14:09:32,8,0.00,3.59,0.00,0.00,2.86,44.767523,-62.438734,-8.9,2.8
2023-04-21 14:09:34,10,0.00,3.96,0.00,0.00,2.91,44.767526,-62.438815,-10.3,2.8
2023-04-21 14:09:36,12,0.00,4.48,0.00,0.00,2.98,44.767534,-62.438892,-10.6,2.8
2023-04-21 14:09:38,14,0.00,4.56,0.00,0.00,3.03,44.767539,-62.438975,-10.3,2.8
2023-04-21 14:09:40,16,0.00,4.32,0.00,0.00,3.08,44.767547,-62.439059,-10.1,2.8
2023-04-21 14:09:42,18,0.00,8.31,0.01,0.05,3.11,44.767554,-62.439142,-11.7,2.8
2023-04-21 14:09:44,20,0.01,10.36,0.24,1.28,3.16,44.767567,-62.439220,-12.4,2.8
2023-04-21 14:09:46,22,0.03,10.75,0.55,2.89,3.18,44.767574,-62.439259,-12.6,2.8
2023-04-21 14:09:48,24,0.06,11.31,0.69,3.62,3.18,44.767574,-62.439259,-12.6,2.8
2023-04-21 14:09:50,26,0.08,11.46,0.72,3.78,3.18,44.767574,-62.439259,-12.6,2.8
2023-04-21 14:09:52,28,0.11,11.55,0.71,3.72,3.18,44.767574,-62.439259,-12.6,2.8
2023-04-21 14:09:54,30,0.13,11.59,0.74,3.88,3.18,44.767574,-62.439259,-12.6,2.8
2023-04-21 14:09:56,32,0.16,11.74,0.78,4.09,3.19,44.767651,-62.439690,-10.0,2.8
2023-04-21 14:09:58,34,0.18,11.73,0.74,3.85,3.22,44.767662,-62.439763,-9.7,2.8
2023-04-21 14:10:00,36,0.21,11.79,0.72,3.70,3.25,44.767675,-62.439847,-9.6,2.8
2023-04-21 14:10:02,38,0.23,11.84,0.75,3.84,3.26,44.767689,-62.439937,-8.6,2.8
2023-04-21 14:10:04,40,0.26,11.72,0.70,3.59,3.27,44.767708,-62.440003,-9.8,2.8
2023-04-21 14:10:06,42,0.28,11.86,0.68,3.46,3.27,44.767719,-62.440079,-11.8,2.8
2023-04-21 14:10:08,44,0.30,11.90,0.69,3.52,3.26,44.767741,-62.440145,-12.1,2.8
2023-04-21 14:10:10,46,0.33,11.95,0.71,3.65,3.23,44.767758,-62.440216,-11.9,2.8
2023-04-21 14:10:12,48,0.35,11.96,0.69,3.56,3.23,44.767774,-62.440294,-11.0,2.8
2023-04-21 14:10:14,50,0.37,11.91,0.67,3.47,3.22,44.767791,-62.440371,-10.5,2.8
2023-04-21 14:10:16,52,0.39,11.91,0.66,3.42,3.21,44.767814,-62.440445,-9.4,2.8
2023-04-21 14:10:18,54,0.41,11.96,0.65,3.38,3.19,44.767838,-62.440520,-8.2,2.8
2023-04-21 14:10:20,56,0.43,11.93,0.61,3.19,3.18,44.767859,-62.440593,-7.0,2.8
2023-04-21 14:10:22,58,0.46,11.94,0.61,3.19,3.17,44.767885,-62.440662,-6.4,2.8
2023-04-21 14:10:24,60,0.48,12.00,0.62,3.27,3.15,44.767909,-62.440730,-5.9,2.8
2023-04-21 14:10:26,62,0.49,11.93,0.57,3.01,3.17,44.767934,-62.440808,-5.3,2.8
2023-04-21 14:10:28,64,0.51,11.97,0.57,3.00,3.19,44.767963,-62.440879,-4.7,2.8
2023-04-21 14:10:30,66,0.53,11.98,0.57,2.96,3.22,44.767992,-62.440957,-4.2,2.8
2023-04-21 14:10:32,68,0.55,11.88,0.54,2.79,3.23,44.768021,-62.441032,-4.2,2.8
2023-04-21 14:10:34,70,0.57,12.05,0.54,2.77,3.23,44.768050,-62.441103,-4.9,2.8
2023-04-21 14:10:36,72,0.59,12.02,0.54,2.78,3.24,44.768084,-62.441162,-6.8,2.8
2023-04-21 14:10:38,74,0.60,11.98,0.51,2.63,3.23,44.768107,-62.441231,-6.1,2.8
2023-04-21 14:10:40,76,0.62,12.09,0.52,2.69,3.23,44.768131,-62.441308,-6.5,2.8
