Serial Number,WE0281117
Sample ID,00039
Start Time,2023-04-21 16:25:53 UTC
Duration,0:01:48
Total Volume (l),0.71
Distance (m),379
Peak Pressure (psi),12.7
Avg Flow (l/min),0.4
Avg Rate (mL/m),2.0
Avg Speed (m/s),3.4


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2023-04-21 16:25:53,0,0.00,-0.37,0.00,0.00,4.41,44.902409,-62.498799,0.4,2.2
2023-04-21 16:25:55,2,0.00,2.85,0.00,0.00,4.41,44.902452,-62.498893,1.4,2.2
2023-04-21 16:25:57,4,0.01,8.66,0.26,0.98,4.41,44.902496,-62.498990,1.5,2.2
2023-04-21 16:25:59,6,0.03,10.96,0.43,1.63,4.40,44.902540,-62.499083,1.1,2.2
2023-04-21 16:26:01,8,0.05,12.20,0.60,2.27,4.39,44.902582,-62.499176,0.5,2.2
2023-04-21 16:26:03,10,0.07,12.17,0.56,2.13,4.39,44.902626,-62.499267,0.1,2.2
2023-04-21 16:26:05,12,0.08,12.31,0.50,1.90,4.38,44.902671,-62.499354,0.0,2.2
2023-04-21 16:26:07,14,0.10,12.40,0.45,1.72,4.36,44.902718,-62.499440,-0.3,2.2
2023-04-21 16:26:09,16,0.11,12.45,0.43,1.65,4.35,44.902766,-62.499527,-0.4,2.2
2023-04-21 16:26:11,18,0.12,12.37,0.40,1.54,4.33,44.902814,-62.499609,0.2,2.2
2023-04-21 16:26:13,20,0.14,12.42,0.39,1.51,4.30,44.902863,-62.499692,0.4,2.2
2023-04-21 16:26:15,22,0.15,12.45,0.39,1.51,4.29,44.902912,-62.499772,0.8,2.2
2023-04-21 16:26:17,24,0.16,12.46,0.38,1.48,4.27,44.902963,-62.499853,1.0,2.2
2023-04-21 16:26:19,26,0.18,12.43,0.37,1.45,4.25,44.903013,-62.499933,1.2,2.2
2023-04-21 16:26:21,28,0.19,12.42,0.36,1.42,4.23,44.903066,-62.500009,1.5,2.2
2023-04-21 16:26:23,30,0.20,12.55,0.41,1.62,4.21,44.903120,-62.500084,1.4,2.2
