Serial Number,WE0281117
Sample ID,00029
Start Time,2023-04-21 14:19:15 UTC
Duration,0:04:12
Total Volume (l),1.2
Distance (m),1156
Peak Pressure (psi),12.1
Avg Flow (l/min),0.3
Avg Rate (mL/m),1.0
Avg Speed (m/s),4.6


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2023-04-21 14:19:15,0,0.00,-0.85,0.00,0.00,4.61,44.766169,-62.466265,-3.0,2.9
2023-04-21 14:19:17,2,0.00,-0.46,0.00,0.00,4.62,44.766155,-62.466387,-1.5,2.9
2023-04-21 14:19:19,4,0.00,-0.34,0.00,0.00,4.62,44.766134,-62.466500,-0.9,2.9
2023-04-21 14:19:21,6,0.00,0.66,0.00,0.00,4.66,44.766114,-62.466616,-0.7,2.9
2023-04-21 14:19:23,8,0.00,2.96,0.00,0.00,4.66,44.766097,-62.466730,-1.1,2.9
2023-04-21 14:19:25,10,0.00,3.56,0.00,0.00,4.65,44.766080,-62.466843,-1.3,2.9
2023-04-21 14:19:27,12,0.00,3.85,0.00,0.00,4.67,44.766067,-62.466961,-1.7,2.9
2023-04-21 14:19:29,14,0.00,4.08,0.00,0.00,4.66,44.766053,-62.467079,-1.7,2.6
2023-04-21 14:19:31,16,0.00,4.26,0.00,0.00,4.66,44.766046,-62.467191,-1.5,2.6
2023-04-21 14:19:33,18,0.00,4.67,0.00,0.00,4.66,44.766034,-62.467305,-1.7,2.6
2023-04-21 14:19:35,20,0.00,4.45,0.00,0.00,4.67,44.766021,-62.467421,-1.1,2.6
2023-04-21 14:19:37,22,0.00,9.87,0.00,0.00,4.63,44.766012,-62.467532,-2.0,2.6
2023-04-21 14:19:39,24,0.01,11.13,0.25,0.90,4.63,44.766008,-62.467646,-2.2,3.0
2023-04-21 14:19:41,26,0.03,11.60,0.52,1.87,4.63,44.766001,-62.467763,-2.1,3.0
2023-04-21 14:19:43,28,0.05,11.82,0.64,2.30,4.64,44.765995,-62.467882,-0.8,3.0
2023-04-21 14:19:45,30,0.08,11.97,0.64,2.30,4.64,44.765993,-62.467996,-0.8,3.0
2023-04-21 14:19:47,32,0.10,12.00,0.69,2.49,4.62,44.765994,-62.468109,-0.7,3.0
2023-04-21 14:19:49,34,0.12,11.96,0.69,2.49,4.61,44.765999,-62.468221,-0.5,3.0
2023-04-21 14:19:51,36,0.14,11.96,0.61,2.21,4.60,44.765994,-62.468337,-2.6,3.0
2023-04-21 14:19:53,38,0.16,12.04,0.64,2.32,4.60,44.765992,-62.468455,-2.2,3.0
2023-04-21 14:19:55,40,0.19,12.04,0.65,2.36,4.59,44.765991,-62.468577,-1.9,3.0
2023-04-21 14:19:57,42,0.21,12.08,0.60,2.17,4.61,44.765986,-62.468695,-1.6,3.0
2023-04-21 14:19:59,44,0.22,12.02,0.58,2.10,4.61,44.765980,-62.468811,-0.9,3.0
2023-04-21 14:20:01,46,0.24,12.07,0.60,2.17,4.60,44.765972,-62.468929,-1.9,3.0
2023-04-21 14:20:03,48,0.26,12.07,0.57,2.06,4.61,44.765967,-62.469050,-1.1,3.0
2023-04-21 14:20:05,50,0.28,12.04,0.56,2.02,4.63,44.765965,-62.469170,-1.2,3.0
2023-04-21 14:20:07,52,0.30,12.06,0.54,1.94,4.64,44.765959,-62.469292,-2.3,3.0
2023-04-21 14:20:09,54,0.32,12.00,0.53,1.90,4.65,44.765954,-62.469411,-2.4,3.0
2023-04-21 14:20:11,56,0.33,12.05,0.52,1.85,4.69,44.765942,-62.469536,-2.3,3.0
2023-04-21 14:20:13,58,0.35,12.08,0.50,1.78,4.69,44.765933,-62.469653,-0.6,3.0
2023-04-21 14:20:15,60,0.37,12.07,0.50,1.78,4.69,44.765930,-62.469767,-0.4,3.0
2023-04-21 14:20:17,62,0.38,12.10,0.47,1.66,4.71,44.765925,-62.469885,-0.5,3.0
2023-04-21 14:20:19,64,0.40,12.08,0.47,1.66,4.71,44.765916,-62.470003,-0.8,3.0
2023-04-21 14:20:21,66,0.41,12.10,0.45,1.59,4.72,44.765911,-62.470117,-0.8,3.0
2023-04-21 14:20:23,68,0.43,12.08,0.42,1.49,4.69,44.765911,-62.470233,-0.6,3.0
2023-04-21 14:20:25,70,0.44,12.12,0.41,1.46,4.68,44.765914,-62.470359,-0.3,3.0
2023-04-21 14:20:27,72,0.45,12.08,0.43,1.53,4.67,44.765921,-62.470478,-0.2,3.0
2023-04-21 14:20:29,74,0.47,12.13,0.42,1.49,4.69,44.765929,-62.470599,-1.1,3.0
2023-04-21 14:20:31,76,0.48,12.04,0.41,1.46,4.66,44.765931,-62.470709,0.8,3.0
2023-04-21 14:20:33,78,0.49,12.07,0.36,1.30,4.63,44.765941,-62.470827,-1.3,3.0
2023-04-21 14:20:35,80,0.51,11.97,0.36,1.31,4.59,44.765954,-62.470943,-2.4,3.0
2023-04-21 14:20:37,82,0.52,12.01,0.38,1.39,4.57,44.765959,-62.471052,0.5,3.0
2023-04-21 14:20:39,84,0.53,11.97,0.36,1.31,4.56,44.765976,-62.471168,-1.0,3.0
2023-04-21 14:20:41,86,0.54,12.06,0.34,1.24,4.56,44.765980,-62.471285,-1.8,3.0
2023-04-21 14:20:43,88,0.55,12.01,0.36,1.32,4.54,44.766006,-62.471391,-2.7,3.0
2023-04-21 14:20:45,90,0.57,12.04,0.36,1.33,4.53,44.766016,-62.471506,-2.3,3.0
2023-04-21 14:20:47,92,0.58,12.00,0.34,1.26,4.50,44.766028,-62.471620,-2.1,3.0
2023-04-21 14:20:49,94,0.59,11.99,0.34,1.28,4.43,44.766040,-62.471722,-1.7,3.0
2023-04-21 14:20:51,96,0.60,12.01,0.33,1.25,4.41,44.766056,-62.471830,-0.9,3.0
2023-04-21 14:20:53,98,0.61,11.94,0.30,1.12,4.45,44.766066,-62.471952,-0.7,3.0
2023-04-21 14:20:55,100,0.62,12.03,0.33,1.23,4.48,44.766077,-62.472071,-0.7,3.0
2023-04-21 14:20:57,102,0.63,12.07,0.33,1.22,4.49,44.766091,-62.472188,-2.1,3.0
2023-04-21 14:20:59,104,0.64,12.04,0.31,1.15,4.48,44.766107,-62.472291,-1.4,3.0
2023-04-21 14:21:01,106,0.65,11.99,0.31,1.15,4.49,44.766121,-62.472408,-2.1,3.0
2023-04-21 14:21:03,108,0.66,11.98,0.31,1.15,4.51,44.766144,-62.472525,-0.8,3.0
2023-04-21 14:21:05,110,0.67,12.00,0.30,1.11,4.52,44.766159,-62.472637,-0.2,3.0
2023-04-21 14:21:07,112,0.68,12.01,0.30,1.11,4.49,44.766180,-62.472737,1.0,3.0
2023-04-21 14:21:09,114,0.69,11.99,0.30,1.10,4.56,44.766197,-62.472857,-0.1,3.0
2023-04-21 14:21:11,116,0.70,12.01,0.30,1.09,4.58,44.766217,-62.472983,-2.0,3.0
2023-04-21 14:21:13,118,0.71,12.05,0.29,1.06,4.55,44.766239,-62.473091,-2.4,3.0
2023-04-21 14:21:15,120,0.72,12.01,0.28,1.03,4.54,44.766259,-62.473200,-0.9,3.0
2023-04-21 14:21:17,122,0.73,11.99,0.27,0.99,4.55,44.766277,-62.473319,-0.2,3.0
2023-04-21 14:21:19,124,0.74,12.00,0.27,0.99,4.56,44.766294,-62.473433,-0.4,3.0
2023-04-21 14:21:21,126,0.75,12.00,0.28,1.02,4.56,44.766314,-62.473547,-0.3,3.0
2023-04-21 14:21:23,128,0.76,11.99,0.27,0.98,4.58,44.766332,-62.473664,-0.5,3.0
2023-04-21 14:21:25,130,0.77,12.01,0.27,0.98,4.58,44.766349,-62.473774,-0.3,3.0
2023-04-21 14:21:27,132,0.78,12.05,0.28,1.01,4.62,44.766370,-62.473887,-0.4,3.0
2023-04-21 14:21:29,134,0.78,12.04,0.26,0.94,4.61,44.766391,-62.474000,0.2,3.0
2023-04-21 14:21:31,136,0.79,11.98,0.25,0.90,4.61,44.766415,-62.474115,0.7,3.0
2023-04-21 14:21:33,138,0.80,12.00,0.25,0.90,4.61,44.766442,-62.474222,-0.0,3.0
2023-04-21 14:21:35,140,0.81,12.06,0.25,0.90,4.61,44.766464,-62.474332,0.8,3.0
2023-04-21 14:21:37,142,0.82,12.00,0.25,0.90,4.62,44.766490,-62.474449,1.0,3.0
2023-04-21 14:21:39,144,0.83,11.99,0.24,0.87,4.60,44.766509,-62.474559,-0.3,3.0
2023-04-21 14:21:41,146,0.83,11.99,0.24,0.87,4.60,44.766536,-62.474664,0.0,3.0
2023-04-21 14:21:43,148,0.84,12.01,0.24,0.88,4.57,44.766561,-62.474771,0.3,3.0
2023-04-21 14:21:45,150,0.85,11.99,0.24,0.87,4.57,44.766584,-62.474881,0.2,3.0
2023-04-21 14:21:47,152,0.86,12.04,0.22,0.81,4.54,44.766609,-62.474989,-0.8,3.0
2023-04-21 14:21:49,154,0.86,11.97,0.23,0.84,4.57,44.766644,-62.475094,-1.2,3.0
2023-04-21 14:21:51,156,0.87,12.02,0.23,0.84,4.55,44.766678,-62.475196,-1.4,3.0
2023-04-21 14:21:53,158,0.88,12.02,0.21,0.77,4.56,44.766708,-62.475304,-2.2,3.0
2023-04-21 14:21:55,160,0.89,11.97,0.22,0.80,4.56,44.766742,-62.475404,-0.7,3.0
2023-04-21 14:21:57,162,0.89,11.98,0.22,0.81,4.50,44.766781,-62.475497,-2.3,3.0
2023-04-21 14:21:59,164,0.90,12.02,0.21,0.78,4.50,44.766813,-62.475597,-1.9,3.0
2023-04-21 14:22:01,166,0.91,12.01,0.21,0.78,4.50,44.766849,-62.475703,-2.0,3.0
2023-04-21 14:22:03,168,0.92,11.98,0.22,0.81,4.53,44.766889,-62.475809,-2.0,3.0
2023-04-21 14:22:05,170,0.92,12.00,0.21,0.78,4.51,44.766929,-62.475908,-1.1,3.0
2023-04-21 14:22:07,172,0.93,11.98,0.21,0.77,4.52,44.766972,-62.476002,-2.2,3.0
2023-04-21 14:22:09,174,0.94,12.01,0.20,0.74,4.49,44.767008,-62.476102,-2.5,3.0
2023-04-21 14:22:11,176,0.94,12.01,0.20,0.74,4.49,44.767044,-62.476204,-2.8,3.0
2023-04-21 14:22:13,178,0.95,12.00,0.20,0.75,4.46,44.767084,-62.476302,-3.6,3.0
2023-04-21 14:22:15,180,0.95,11.99,0.18,0.67,4.46,44.767129,-62.476395,-4.1,3.0
2023-04-21 14:22:17,182,0.96,12.03,0.12,0.44,4.50,44.767164,-62.476499,-4.8,3.0
2023-04-21 14:22:19,184,0.96,12.00,0.04,0.15,4.51,44.767206,-62.476600,-5.6,3.0
2023-04-21 14:22:21,186,0.96,11.97,0.01,0.04,4.49,44.767252,-62.476687,-5.2,3.0
2023-04-21 14:22:23,188,0.96,12.02,0.00,0.00,4.44,44.767294,-62.476779,-5.8,3.0
2023-04-21 14:22:25,190,0.96,12.02,0.00,0.00,4.44,44.767335,-62.476867,-4.0,3.0
2023-04-21 14:22:27,192,0.96,12.01,0.10,0.38,4.44,44.767381,-62.476953,-4.2,3.0
2023-04-21 14:22:29,194,0.97,12.00,0.16,0.60,4.44,44.767435,-62.477041,-4.0,3.0
2023-04-21 14:22:31,196,0.97,12.01,0.16,0.60,4.45,44.767478,-62.477135,-3.9,3.0
2023-04-21 14:22:33,198,0.98,11.97,0.17,0.64,4.44,44.767525,-62.477219,-3.7,3.0
2023-04-21 14:22:35,200,0.99,12.02,0.19,0.71,4.44,44.767570,-62.477305,-4.2,3.0
2023-04-21 14:22:37,202,0.99,12.01,0.17,0.64,4.43,44.767617,-62.477395,-3.6,3.0
2023-04-21 14:22:39,204,1.00,11.99,0.15,0.56,4.44,44.767666,-62.477482,-2.8,3.0
2023-04-21 14:22:41,206,1.00,11.97,0.17,0.64,4.44,44.767715,-62.477569,-2.4,3.0
2023-04-21 14:22:43,208,1.01,11.98,0.16,0.60,4.46,44.767763,-62.477658,-1.6,3.0
2023-04-21 14:22:45,210,1.01,11.98,0.16,0.60,4.47,44.767815,-62.477744,-1.6,3.0
2023-04-21 14:22:47,212,1.02,12.05,0.15,0.56,4.46,44.767865,-62.477828,-1.1,3.0
2023-04-21 14:22:49,214,1.02,12.03,0.16,0.60,4.47,44.767915,-62.477915,-1.2,3.0
2023-04-21 14:22:51,216,1.03,11.93,0.14,0.52,4.46,44.767970,-62.477998,-0.4,3.0
2023-04-21 14:22:53,218,1.03,11.94,0.14,0.52,4.48,44.768022,-62.478086,-0.6,3.0
2023-04-21 14:22:55,220,1.04,12.09,0.14,0.52,4.47,44.768069,-62.478172,0.9,3.0
2023-04-21 14:22:57,222,1.04,12.03,0.15,0.56,4.48,44.768119,-62.478260,1.6,3.0
2023-04-21 14:22:59,224,1.05,11.99,0.08,0.30,4.48,44.768168,-62.478347,1.8,3.0
2023-04-21 14:23:01,226,1.05,11.92,0.08,0.30,4.47,44.768219,-62.478427,1.1,3.0
2023-04-21 14:23:03,228,1.05,12.02,0.16,0.60,4.43,44.768266,-62.478506,0.8,3.0
2023-04-21 14:23:05,230,1.06,12.01,0.17,0.64,4.42,44.768318,-62.478589,0.4,3.0
2023-04-21 14:23:07,232,1.06,11.99,0.14,0.53,4.42,44.768368,-62.478677,-0.1,3.0
2023-04-21 14:23:09,234,1.07,11.97,0.14,0.53,4.42,44.768422,-62.478762,-0.4,3.0
2023-04-21 14:23:11,236,1.08,7.69,0.30,1.13,4.42,44.768471,-62.478844,-0.2,3.0
2023-04-21 14:23:13,238,1.12,3.29,0.96,3.62,4.42,44.768519,-62.478956,-5.5,3.0
2023-04-21 14:23:15,240,1.16,1.52,1.08,4.03,4.46,44.768571,-62.479037,-4.0,3.0
2023-04-21 14:23:17,242,1.18,1.43,0.73,2.73,4.46,44.768632,-62.479114,-4.2,3.0
2023-04-21 14:23:19,244,1.19,2.10,0.42,1.57,4.46,44.768687,-62.479191,-3.9,3.0
2023-04-21 14:23:21,246,1.19,2.35,0.22,0.82,4.46,44.768740,-62.479275,-5.9,3.0
2023-04-21 14:23:23,248,1.19,2.28,0.11,0.41,4.53,44.768785,-62.479361,-5.9,3.0
2023-04-21 14:23:25,250,1.20,2.41,0.05,0.18,4.52,44.768831,-62.479449,-7.3,3.0
2023-04-21 14:23:27,252,1.20,2.50,0.02,0.07,4.52,44.768891,-62.479523,-5.3,3.0
