Serial Number,WE0281117
Sample ID,00038
Start Time,2023-04-21 16:17:56 UTC
Duration,0:05:09
Total Volume (l),2.39
Distance (m),1358
Peak Pressure (psi),12.6
Avg Flow (l/min),0.5
Avg Rate (mL/m),1.7
Avg Speed (m/s),4.4


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2023-04-21 16:17:56,0,0.00,-0.62,0.00,0.00,4.42,44.887805,-62.485060,-3.1,3.6
2023-04-21 16:17:58,2,0.00,-0.14,0.00,0.00,4.42,44.887883,-62.485054,-3.0,3.6
2023-04-21 16:18:00,4,0.00,1.03,0.00,0.00,4.43,44.887962,-62.485051,-3.2,3.6
2023-04-21 16:18:02,6,0.00,2.87,0.00,0.00,4.42,44.888041,-62.485046,-3.3,3.4
2023-04-21 16:18:04,8,0.00,3.71,0.00,0.00,4.43,44.888120,-62.485042,-3.7,3.4
2023-04-21 16:18:06,10,0.00,3.93,0.00,0.00,4.42,44.888202,-62.485036,-3.5,3.4
2023-04-21 16:18:08,12,0.00,4.08,0.00,0.00,4.42,44.888282,-62.485029,-3.4,3.4
2023-04-21 16:18:10,14,0.00,4.14,0.00,0.00,4.42,44.888362,-62.485025,-3.5,3.4
2023-04-21 16:18:12,16,0.00,4.43,0.00,0.00,4.43,44.888444,-62.485021,-3.7,3.4
2023-04-21 16:18:14,18,0.00,4.47,0.00,0.00,4.43,44.888525,-62.485016,-3.6,3.4
2023-04-21 16:18:16,20,0.00,9.14,0.00,0.00,4.44,44.888604,-62.485006,-2.8,3.4
2023-04-21 16:18:18,22,0.01,10.46,0.36,1.35,4.45,44.888683,-62.485001,-2.2,3.4
2023-04-21 16:18:20,24,0.04,11.09,0.57,2.14,4.45,44.888767,-62.485001,-1.3,3.4
2023-04-21 16:18:22,26,0.06,11.29,0.72,2.70,4.45,44.888847,-62.484995,-0.5,2.6
2023-04-21 16:18:24,28,0.09,11.41,0.78,2.92,4.45,44.888926,-62.484985,-0.0,2.6
2023-04-21 16:18:26,30,0.12,11.50,0.80,3.00,4.45,44.889005,-62.484976,0.2,2.6
2023-04-21 16:18:28,32,0.14,11.55,0.80,3.00,4.44,44.889083,-62.484967,0.4,2.6
2023-04-21 16:18:30,34,0.17,11.58,0.78,2.93,4.44,44.889164,-62.484960,0.5,2.6
2023-04-21 16:18:32,36,0.20,11.59,0.74,2.78,4.44,44.889246,-62.484951,1.0,2.6
2023-04-21 16:18:34,38,0.22,11.65,0.73,2.74,4.44,44.889326,-62.484946,1.4,2.6
2023-04-21 16:18:36,40,0.24,11.65,0.73,2.74,4.43,44.889406,-62.484940,1.3,2.6
2023-04-21 16:18:38,42,0.27,11.65,0.73,2.74,4.44,44.889485,-62.484930,1.3,2.6
2023-04-21 16:18:41,45,0.29,11.68,0.73,2.74,4.44,44.889565,-62.484923,1.5,2.6
2023-04-21 16:18:43,47,0.32,11.70,0.72,2.70,4.44,44.889644,-62.484914,1.4,2.6
2023-04-21 16:18:45,49,0.34,11.74,0.72,2.70,4.44,44.889724,-62.484904,1.4,2.6
2023-04-21 16:18:47,51,0.37,11.76,0.71,2.66,4.44,44.889803,-62.484895,1.4,2.6
2023-04-21 16:18:49,53,0.39,11.74,0.71,2.66,4.44,44.889883,-62.484890,1.5,2.6
2023-04-21 16:18:51,55,0.41,11.81,0.72,2.70,4.44,44.889960,-62.484885,1.5,2.6
2023-04-21 16:18:53,57,0.44,11.80,0.70,2.63,4.44,44.890040,-62.484881,1.5,2.6
2023-04-21 16:18:55,59,0.46,11.82,0.69,2.59,4.44,44.890120,-62.484886,-0.1,2.6
2023-04-21 16:18:57,61,0.48,11.86,0.68,2.55,4.44,44.890201,-62.484885,-0.3,2.6
2023-04-21 16:18:59,63,0.50,11.84,0.67,2.51,4.45,44.890284,-62.484887,-1.3,2.6
2023-04-21 16:19:01,65,0.53,11.86,0.68,2.55,4.45,44.890365,-62.484894,-1.3,2.6
2023-04-21 16:19:03,67,0.55,11.82,0.66,2.47,4.46,44.890445,-62.484894,-0.9,2.6
2023-04-21 16:19:05,69,0.57,11.86,0.67,2.50,4.46,44.890520,-62.484894,0.4,2.6
2023-04-21 16:19:07,71,0.59,11.89,0.67,2.50,4.46,44.890599,-62.484900,0.7,2.6
2023-04-21 16:19:09,73,0.62,11.76,0.64,2.39,4.46,44.890681,-62.484911,0.1,2.6
2023-04-21 16:19:11,75,0.64,11.91,0.66,2.47,4.46,44.890762,-62.484918,0.4,2.6
2023-04-21 16:19:13,77,0.66,11.82,0.64,2.39,4.46,44.890845,-62.484929,0.1,3.6
2023-04-21 16:19:15,79,0.68,11.88,0.64,2.39,4.47,44.890927,-62.484949,-0.1,3.6
2023-04-21 16:19:17,81,0.70,11.91,0.65,2.43,4.46,44.891000,-62.484965,0.4,3.6
2023-04-21 16:19:19,83,0.72,11.93,0.64,2.40,4.45,44.891074,-62.485002,-1.8,3.6
2023-04-21 16:19:21,85,0.74,11.91,0.62,2.33,4.44,44.891151,-62.485027,-1.7,3.6
2023-04-21 16:19:23,87,0.76,11.92,0.62,2.33,4.43,44.891228,-62.485055,-1.9,3.6
2023-04-21 16:19:25,89,0.79,11.91,0.61,2.30,4.42,44.891306,-62.485085,-1.5,3.6
2023-04-21 16:19:27,91,0.80,11.96,0.61,2.30,4.41,44.891383,-62.485117,-1.9,3.6
2023-04-21 16:19:29,93,0.83,11.87,0.60,2.27,4.41,44.891461,-62.485146,-2.0,3.6
2023-04-21 16:19:31,95,0.84,11.96,0.60,2.27,4.40,44.891537,-62.485171,-2.2,3.6
2023-04-21 16:19:33,97,0.87,11.94,0.59,2.24,4.39,44.891612,-62.485194,-2.9,3.6
2023-04-21 16:19:35,99,0.89,11.98,0.59,2.24,4.38,44.891688,-62.485212,-3.0,3.6
2023-04-21 16:19:37,101,0.90,11.98,0.59,2.24,4.38,44.891763,-62.485232,-3.1,3.6
2023-04-21 16:19:39,103,0.92,11.97,0.59,2.25,4.37,44.891838,-62.485250,-2.9,3.6
2023-04-21 16:19:41,105,0.94,11.98,0.57,2.17,4.37,44.891914,-62.485269,-2.8,3.6
2023-04-21 16:19:43,107,0.96,12.03,0.56,2.14,4.37,44.891990,-62.485291,-2.6,3.7
2023-04-21 16:19:45,109,0.98,11.97,0.54,2.06,4.36,44.892066,-62.485309,-1.8,3.7
2023-04-21 16:19:47,111,1.00,12.02,0.55,2.10,4.37,44.892142,-62.485333,-1.3,3.7
2023-04-21 16:19:49,113,1.02,12.03,0.54,2.06,4.36,44.892218,-62.485358,-1.2,3.7
2023-04-21 16:19:51,115,1.03,12.07,0.54,2.06,4.37,44.892295,-62.485382,-0.9,3.7
2023-04-21 16:19:53,117,1.05,12.07,0.53,2.02,4.36,44.892372,-62.485406,-0.7,3.7
2023-04-21 16:19:55,119,1.07,12.05,0.53,2.02,4.36,44.892448,-62.485430,-0.4,3.7
2023-04-21 16:19:57,121,1.09,12.06,0.53,2.03,4.36,44.892523,-62.485456,-0.5,3.7
2023-04-21 16:19:59,123,1.10,11.99,0.52,1.99,4.36,44.892602,-62.485494,-0.6,3.7
2023-04-21 16:20:01,125,1.12,12.08,0.52,2.00,4.33,44.892675,-62.485524,-0.9,3.7
2023-04-21 16:20:03,127,1.14,12.13,0.53,2.04,4.32,44.892746,-62.485550,-1.2,3.7
2023-04-21 16:20:05,129,1.16,12.09,0.52,2.01,4.32,44.892821,-62.485578,-1.2,3.7
2023-04-21 16:20:07,131,1.17,12.13,0.51,1.97,4.32,44.892897,-62.485613,-1.4,3.7
2023-04-21 16:20:09,133,1.19,12.12,0.51,1.97,4.32,44.892974,-62.485643,-1.2,3.7
2023-04-21 16:20:11,135,1.21,12.08,0.50,1.93,4.32,44.893048,-62.485675,-1.3,3.7
2023-04-21 16:20:13,137,1.22,12.11,0.51,1.97,4.32,44.893126,-62.485701,-0.9,3.5
2023-04-21 16:20:15,139,1.24,12.13,0.50,1.94,4.30,44.893201,-62.485719,-0.5,3.5
2023-04-21 16:20:17,141,1.26,12.16,0.50,1.94,4.30,44.893279,-62.485742,0.1,3.5
2023-04-21 16:20:19,143,1.27,12.12,0.49,1.90,4.29,44.893363,-62.485746,1.8,3.5
2023-04-21 16:20:21,145,1.29,12.13,0.49,1.90,4.30,44.893440,-62.485765,2.5,3.5
2023-04-21 16:20:23,147,1.31,12.11,0.49,1.89,4.31,44.893519,-62.485818,3.6,3.7
2023-04-21 16:20:25,149,1.32,12.12,0.49,1.89,4.31,44.893598,-62.485855,4.4,3.7
2023-04-21 16:20:27,151,1.34,12.16,0.48,1.86,4.31,44.893679,-62.485897,5.1,3.7
2023-04-21 16:20:29,153,1.35,12.18,0.48,1.86,4.31,44.893757,-62.485942,6.0,3.7
2023-04-21 16:20:31,155,1.37,12.19,0.48,1.86,4.31,44.893835,-62.485977,6.4,3.7
2023-04-21 16:20:33,157,1.39,12.07,0.46,1.79,4.29,44.893912,-62.486013,6.6,3.5
2023-04-21 16:20:35,159,1.40,12.20,0.48,1.86,4.31,44.893988,-62.486042,6.4,3.5
2023-04-21 16:20:37,161,1.42,12.19,0.48,1.86,4.30,44.894065,-62.486072,6.4,3.5
2023-04-21 16:20:39,163,1.43,12.23,0.48,1.86,4.30,44.894142,-62.486110,6.1,3.5
2023-04-21 16:20:41,165,1.45,12.19,0.46,1.77,4.33,44.894217,-62.486156,5.6,3.5
2023-04-21 16:20:43,167,1.47,12.22,0.47,1.81,4.33,44.894292,-62.486185,5.4,3.5
2023-04-21 16:20:45,169,1.48,12.14,0.45,1.74,4.32,44.894366,-62.486229,5.0,3.5
2023-04-21 16:20:47,171,1.50,12.19,0.46,1.78,4.32,44.894441,-62.486264,5.1,3.5
2023-04-21 16:20:49,173,1.51,12.16,0.46,1.78,4.31,44.894514,-62.486301,5.1,3.5
2023-04-21 16:20:51,175,1.53,12.24,0.46,1.78,4.32,44.894585,-62.486348,4.6,3.5
2023-04-21 16:20:53,177,1.54,12.25,0.46,1.77,4.33,44.894658,-62.486391,4.3,3.5
2023-04-21 16:20:55,179,1.56,12.28,0.46,1.77,4.34,44.894732,-62.486440,4.4,3.5
2023-04-21 16:20:57,181,1.57,12.28,0.46,1.76,4.34,44.894805,-62.486481,4.2,3.5
