Serial Number,WE0281117
Sample ID,00007
Start Time,2023-04-21 11:52:58 UTC
Duration,0:04:40
Total Volume (l),2.84
Distance (m),158
Peak Pressure (psi),12.1
Avg Flow (l/min),0.6
Avg Rate (mL/m),18.2
Avg Speed (m/s),0.6


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2023-04-21 11:52:58,0,0.00,-0.48,0.00,0.00,0.55,44.665625,-62.347246,11.5,6.4
2023-04-21 11:53:00,2,0.00,2.08,0.00,0.00,0.50,44.665632,-62.347244,11.5,6.4
2023-04-21 11:53:02,4,0.00,3.28,0.00,0.00,0.54,44.665620,-62.347236,12.2,6.4
2023-04-21 11:53:04,6,0.00,3.63,0.00,0.00,0.56,44.665610,-62.347237,11.2,6.4
2023-04-21 11:53:06,8,0.00,3.93,0.00,0.00,0.57,44.665604,-62.347235,10.7,6.4
2023-04-21 11:53:08,10,0.00,4.12,0.00,0.00,0.62,44.665595,-62.347226,10.1,6.4
2023-04-21 11:53:10,12,0.00,4.33,0.00,0.00,0.63,44.665596,-62.347229,9.6,6.4
2023-04-21 11:53:12,14,0.00,7.01,0.00,0.00,0.65,44.665597,-62.347229,9.1,6.4
2023-04-21 11:53:14,16,0.00,10.23,0.15,3.74,0.67,44.665607,-62.347222,6.4,6.4
2023-04-21 11:53:16,18,0.03,10.76,0.55,13.32,0.69,44.665605,-62.347221,6.1,6.4
2023-04-21 11:53:18,20,0.06,10.75,0.72,19.37,0.62,44.665607,-62.347220,6.4,6.4
2023-04-21 11:53:20,22,0.08,10.74,0.79,21.17,0.62,44.665606,-62.347216,5.3,6.4
2023-04-21 11:53:22,24,0.11,11.02,0.84,23.88,0.59,44.665598,-62.347214,6.3,6.4
2023-04-21 11:53:24,26,0.15,11.27,0.94,27.82,0.56,44.665601,-62.347213,5.4,6.4
2023-04-21 11:53:26,28,0.17,11.24,0.91,26.31,0.58,44.665594,-62.347215,8.0,6.4
