,station,deploy_lat,deploy_long
3,Southern SAB3,45.98226,-59.05045
4,Southern SAB4,45.99226,-59.11485
5,Southern SAB5,46.00416,-59.153
6,Southern SAB6,45.99868,-59.16113
7,Southern SAB7,45.99683,-59.16333
8,Southern SAB8,46.0108,-59.14748
9,Southern SAB9,46.02588,-59.1794
10,Southern SAB10,46.00565,-59.1536
11,Southern SAB11,46.00461,-59.14621
12,Southern SAB12,46.01516,-59.19333
1383,Southern SAB13,46.00328,-59.15143
15,Southern SAB14,46.00335,-59.15628
16,SABMPA1,45.99952,-59.12502
1720,SABMPA2,45.99266,-59.32011
18100,SABMPA3,45.99263,-59.32011
203,SABMPA4,46.13824,-59.03696
217,SABMPA5,45.16332,-59.03206
22100,SABMPA6,46.18963,-58.96543
2850,SABMPA7,46.20428,-58.95794
2941,SABMPA8,46.18163,-58.98445
3181,SABMPA9,46.17395,-58.99593
32100,SABMPA10,46.15535,-59.00052
3710,SABMPA11,46.16353,-59.02999
4051,SABMPA12,46.16597,-59.0201
41100,SABMPA13,46.18362,-58.97021
42100,SABMPA14,46.2001,-58.96119
44100,SABMPA15,46.20382,-58.95658
47100,SABMPA16,46.22429,-58.94616
53100,SABMPA17,46.1596,-59.0296
54100,SABMPA18,46.18439,-58.9755
55100,SABMPA19,46.20277,-58.95961
5810,SABMPA20,46.1627,-59.02524
6110,SABMPA21,46.2,-58.93333
6310,SABMPA22,46.2,-58.95
