"","station_name","date","receiver","description","data","rcv_serial_no","deploy_date","recover_date","dep_lat","dep_long","the_geom","catalognumber"
"17","V2LSCF-N1",2015-05-15,"VR2AR-545784","Average temperature",-0.7,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"18","V2LSCF-N1",2015-05-15,"VR2AR-545784","Temperature",-0.7,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"19","V2LSCF-N1",2015-05-15,"VR2AR-545784","Minimum temperature",-0.7,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"20","V2LSCF-N1",2015-05-15,"VR2AR-545784","Maximum temperature",-0.7,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"21","V2LSCF-N1",2015-05-16,"VR2AR-545784","Maximum temperature",-0.6,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"22","V2LSCF-N1",2015-05-16,"VR2AR-545784","Temperature",-0.6,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"23","V2LSCF-N1",2015-05-16,"VR2AR-545784","Minimum temperature",-0.6,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"24","V2LSCF-N1",2015-05-16,"VR2AR-545784","Average temperature",-0.6,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"25","V2LSCF-N1",2015-05-17,"VR2AR-545784","Average temperature",-0.4,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"26","V2LSCF-N1",2015-05-17,"VR2AR-545784","Temperature",-0.4,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"27","V2LSCF-N1",2015-05-17,"VR2AR-545784","Minimum temperature",-0.4,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"28","V2LSCF-N1",2015-05-17,"VR2AR-545784","Maximum temperature",-0.4,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"29","V2LSCF-N1",2015-05-18,"VR2AR-545784","Maximum temperature",-0.5,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"30","V2LSCF-N1",2015-05-18,"VR2AR-545784","Temperature",-0.5,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"31","V2LSCF-N1",2015-05-18,"VR2AR-545784","Minimum temperature",-0.5,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"32","V2LSCF-N1",2015-05-18,"VR2AR-545784","Average temperature",-0.5,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"33","V2LSCF-N1",2015-05-19,"VR2AR-545784","Average temperature",-0.7,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"34","V2LSCF-N1",2015-05-19,"VR2AR-545784","Temperature",-0.7,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"35","V2LSCF-N1",2015-05-19,"VR2AR-545784","Minimum temperature",-0.7,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"36","V2LSCF-N1",2015-05-19,"VR2AR-545784","Maximum temperature",-0.7,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"37","V2LSCF-N1",2015-05-20,"VR2AR-545784","Minimum temperature",-0.8,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"38","V2LSCF-N1",2015-05-20,"VR2AR-545784","Average temperature",-0.8,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"39","V2LSCF-N1",2015-05-20,"VR2AR-545784","Maximum temperature",-0.8,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"40","V2LSCF-N1",2015-05-20,"VR2AR-545784","Temperature",-0.8,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"41","V2LSCF-N1",2015-05-21,"VR2AR-545784","Maximum temperature",-0.6,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"42","V2LSCF-N1",2015-05-21,"VR2AR-545784","Temperature",-0.6,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"43","V2LSCF-N1",2015-05-21,"VR2AR-545784","Minimum temperature",-0.6,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"44","V2LSCF-N1",2015-05-21,"VR2AR-545784","Average temperature",-0.6,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"45","V2LSCF-N1",2015-05-22,"VR2AR-545784","Average temperature",-0.6,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"46","V2LSCF-N1",2015-05-22,"VR2AR-545784","Temperature",-0.6,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"47","V2LSCF-N1",2015-05-22,"VR2AR-545784","Minimum temperature",-0.6,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"48","V2LSCF-N1",2015-05-22,"VR2AR-545784","Maximum temperature",-0.6,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"49","V2LSCF-N1",2015-05-23,"VR2AR-545784","Maximum temperature",-0.3,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"50","V2LSCF-N1",2015-05-23,"VR2AR-545784","Temperature",-0.3,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"51","V2LSCF-N1",2015-05-23,"VR2AR-545784","Minimum temperature",-0.3,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"52","V2LSCF-N1",2015-05-23,"VR2AR-545784","Average temperature",-0.3,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"53","V2LSCF-N1",2015-05-24,"VR2AR-545784","Minimum temperature",-0.5,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"54","V2LSCF-N1",2015-05-24,"VR2AR-545784","Temperature",-0.5,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"55","V2LSCF-N1",2015-05-24,"VR2AR-545784","Average temperature",-0.5,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"56","V2LSCF-N1",2015-05-24,"VR2AR-545784","Maximum temperature",-0.5,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"57","V2LSCF-N1",2015-05-25,"VR2AR-545784","Temperature",-0.4,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"58","V2LSCF-N1",2015-05-25,"VR2AR-545784","Minimum temperature",-0.4,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"59","V2LSCF-N1",2015-05-25,"VR2AR-545784","Maximum temperature",-0.4,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"60","V2LSCF-N1",2015-05-25,"VR2AR-545784","Average temperature",-0.4,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"61","V2LSCF-N1",2015-05-26,"VR2AR-545784","Maximum temperature",-0.6,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"62","V2LSCF-N1",2015-05-26,"VR2AR-545784","Temperature",-0.6,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"63","V2LSCF-N1",2015-05-26,"VR2AR-545784","Average temperature",-0.6,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"64","V2LSCF-N1",2015-05-26,"VR2AR-545784","Minimum temperature",-0.6,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"65","V2LSCF-N1",2015-05-27,"VR2AR-545784","Temperature",-0.7,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"66","V2LSCF-N1",2015-05-27,"VR2AR-545784","Maximum temperature",-0.7,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"67","V2LSCF-N1",2015-05-27,"VR2AR-545784","Average temperature",-0.7,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"68","V2LSCF-N1",2015-05-27,"VR2AR-545784","Minimum temperature",-0.7,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"69","V2LSCF-N1",2015-05-28,"VR2AR-545784","Average temperature",-0.6,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"70","V2LSCF-N1",2015-05-28,"VR2AR-545784","Minimum temperature",-0.6,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"71","V2LSCF-N1",2015-05-28,"VR2AR-545784","Temperature",-0.6,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
