,common_name,Project_full,RELEASE_LOCATION,Detections,Individuals,mean_lat,mean_lon,min_lat,max_lat,min_lon,max_lon
49,Porbeagle shark,JPBS - DFO: Porbeagle and Blue Sharks,Georges Bank,56,3,41.21,-67.38108,-,-,-,-
50,Shortfin mako,RICSS - RIDEM DMF Coastal Shark Tagging Study,"Block Island, New England, USA",29,1,41.081236,-71.576333,-,-,-,-
51,Snow crab,ZSC - Scotian Shelf Snow Crab Tagging,Scotian Shelf,371,2,46.655883,-61.26395,-,-,-,-
52,White shark,CCOCE - Shelf-associated movements and migration of sharks in the Western North Atlantic Ocean,"Hilton Head, South Carolina",9,1,32.00025,-80.59483333,-,-,-,-
53,White shark,CCOCE - Shelf-associated movements and migration of sharks in the Western North Atlantic Ocean,"Lunenburg, Nova Scotia",25,2,44.22783333,-64.28468333,-,-,-,-
54,White shark,CCOCE - Shelf-associated movements and migration of sharks in the Western North Atlantic Ocean,NE Atlantic,123,10,44.22537617,-64.2826131,44.2249,44.2257,-64.2863,-64.2774
55,White shark,CCOCE - Shelf-associated movements and migration of sharks in the Western North Atlantic Ocean,"Scatarie Island, Cape Breton, Nova Scotia",37,1,46.03645,-59.69378333,-,-,-,-
56,White shark,CCOCE - Shelf-associated movements and migration of sharks in the Western North Atlantic Ocean,"W. Ironbound I., Nova Scotia",64,4,44.22818411,-64.28176901,44.2257,44.2366,-64.2863,-64.2714
57,White shark,HMSWEA - Offshore Wind Telemetry,"Nantucket, USA",51,3,39.543908,-73.857779,-,-,-,-
58,White shark,HMSWEA - Offshore Wind Telemetry,"Southern New England, USA",3,1,39.5439,-73.85777,-,-,-,-
59,White shark,MSRPWS - Massachusetts White Shark Research Program,"Cape cod, MA",940,47,41.34566,-69.618619,-,-,-,-
60,White shark,NYSHARKS - New York Juvenile White Shark Study,"Long Island, NY, USA",39,5,40.09488,-73.2486,-,-,-,-
61,White shark,SBUSOMAS01 - SBU Coastal New York Bight Acoustic Network,"Long Island, USA",3,1,40.090717,-73.308458,-,-,-,-
62,White shark,V2LWSAMP - White Shark Acoustic Monitoring Program,"Kejimkujik Park, NS",6,1,43.798987,-64.772998,-,-,-,-
63,White shark,VMLPPWS - Grey seals and white sharks in Atlantic Canadian waters,"Magdalen Islands, Gulf of St. Lawrence",4,1,47.88175,-61.380374,-,-,-,-
