"","glatos_array","num_fish","num_dets","first_det","last_det","mean_lat","mean_lon","animals"
"1","OTN.BOOGSL",2,5,2018-11-18 05:10:30,2019-05-26 05:51:52,48.04083,-61.16233,"SABMPA-MPA-SAB-0026 SABMPA-MPA-SAB-0040"
"2","OTN.CBS",44,4879,2018-05-07 02:23:17,2025-05-28 12:49:41,47.163826218486,-60.1875530764502,"SABMPA-1261739-2022-12-05 SABMPA-1261746-2022-12-05 SABMPA-1261754-2022-12-05 SABMPA-1261763-2022-12-05 SABMPA-1261764-2022-12-05 SABMPA-1261767-2022-12-05 SABMPA-1261769-2022-12-05 SABMPA-1346212-2022-12-06 SABMPA-1346219-2022-12-06 SABMPA-1346220-2022-12-06 SABMPA-1346222-2022-12-05 SABMPA-1346224-2022-12-05 SABMPA-1346226-2022-12-05 SABMPA-1346228-2022-12-05 SABMPA-MPA-SAB-0020 SABMPA-MPA-SAB-0022 SABMPA-MPA-SAB-0024 SABMPA-MPA-SAB-0026 SABMPA-MPA-SAB-0038 SABMPA-MPA-SAB-0040 SABMPA-MPA-SAB-0044 SABMPA-MPA-SAB-0046 SABMPA-MPA-SAB-0052 SABMPA-MPA-SAB-0055 SABMPA-MPA-SAB-0063-2018-12-07 SABMPA-MPA-SAB-23-MOR-03-2023-10-05 SABMPA-MPA-SAB-23-MOR-08-2023-10-06 SABMPA-MPA-SAB-23-MOR-10-2023-10-06 SABMPA-MPA-SAB-23-MOR-11-2023-10-06 SABMPA-MPA-SAB-23-MOR-30-2023-11-26 SABMPA-MPA-SAB-23-MOR-37-2023-11-26 SABMPA-MPA-SAB-23-MOR-58-2023-11-26 SABMPA-MPA-SAB-23-MOR-59-2023-11-26 SABMPA-MPA-SAB-23-MOR-60-2023-11-26 SABMPA-MPA-SAB-23-MOR-61-2023-11-26 SABMPA-MPA-SAB-23-MOR-67-2023-11-26 SABMPA-MPA-SAB-24-MOR-02-2024-12-04 SABMPA-MPA-SAB-24-MOR-05-2024-12-04 SABMPA-MPA-SAB-24-MOR-12-2024-12-04 SABMPA-MPA-SAB-24-MOR-13-2024-12-04 SABMPA-MPA-SAB-24-MOR-14-2024-12-04 SABMPA-MPA-SAB-24-MOR-26-2024-12-04 SABMPA-MPA-SAB-24-MOR-27-2024-12-04 SABMPA-MPA-SAB-24-MOR-30-2024-12-04"
"3","OTN.CBTSC",3,361,2023-05-07 10:25:46.4625,2023-06-15 19:49:44.9245,46.7038164819944,-61.1060469252076,"SABMPA-1261767-2022-12-05 SABMPA-1261769-2022-12-05 SABMPA-1346222-2022-12-05"
"4","OTN.GDL",8,120,2018-10-30 10:41:53,2024-07-07 03:18:02,46.36711775,-59.4722565833333,"SABMPA-1261754-2022-12-05 SABMPA-MPA-SAB-0020 SABMPA-MPA-SAB-0037 SABMPA-MPA-SAB-0047 SABMPA-MPA-SAB-0054 SABMPA-MPA-SAB-0057 SABMPA-MPA-SAB-0060 SABMPA-MPA-SAB-23-MOR-08-2023-10-06"
"5","OTN.NSWS",2,7,2022-12-22 06:47:56.8386,2024-03-25 01:40:27,46.0059557142857,-59.6853714285714,"SABMPA-1261752-2022-12-05 SABMPA-MPA-SAB-23-MOR-66-2023-11-26"
"6","OTN.SABMPA",93,25074,2018-04-25 17:46:00,2025-01-01 09:06:18,46.0088892881024,-59.1447674008873,"SABMPA-1261739-2022-12-05 SABMPA-1261740-2022-12-05 SABMPA-1261741-2022-12-05 SABMPA-1261742-2022-12-05 SABMPA-1261745-2022-12-05 SABMPA-1261746-2022-12-05 SABMPA-1261748-2022-12-05 SABMPA-1261752-2022-12-05 SABMPA-1261753-2022-12-05 SABMPA-1261754-2022-12-05 SABMPA-1261755-2022-12-05 SABMPA-1261756-2022-12-05 SABMPA-1261757-2022-12-05 SABMPA-1261759-2022-12-05 SABMPA-1261760-2022-12-05 SABMPA-1261763-2022-12-05 SABMPA-1261764-2022-12-05 SABMPA-1261767-2022-12-05 SABMPA-1261769-2022-12-05 SABMPA-1261770-2022-12-05 SABMPA-1261772-2022-12-05 SABMPA-1261773-2022-12-05 SABMPA-1261775-2022-12-05 SABMPA-1261776-2022-12-05 SABMPA-1261777-2022-12-05 SABMPA-1261778-2022-12-05 SABMPA-1346211-2022-12-06 SABMPA-1346212-2022-12-06 SABMPA-1346213-2022-12-06 SABMPA-1346214-2022-12-06 SABMPA-1346215-2022-12-06 SABMPA-1346217-2022-12-05 SABMPA-1346218-2022-12-06 SABMPA-1346219-2022-12-06 SABMPA-1346220-2022-12-06 SABMPA-1346221-2022-12-06 SABMPA-1346222-2022-12-05 SABMPA-1346223-2022-12-05 SABMPA-1346224-2022-12-05 SABMPA-1346225-2022-12-05 SABMPA-1346226-2022-12-05 SABMPA-1346227-2022-12-05 SABMPA-1346228-2022-12-05 SABMPA-1346229-2022-12-05 SABMPA-MPA-SAB-0020 SABMPA-MPA-SAB-0021 SABMPA-MPA-SAB-0022 SABMPA-MPA-SAB-0023 SABMPA-MPA-SAB-0024 SABMPA-MPA-SAB-0026 SABMPA-MPA-SAB-0027 SABMPA-MPA-SAB-0029 SABMPA-MPA-SAB-0030 SABMPA-MPA-SAB-0031 SABMPA-MPA-SAB-0032 SABMPA-MPA-SAB-0034 SABMPA-MPA-SAB-0037 SABMPA-MPA-SAB-0038 SABMPA-MPA-SAB-0040 SABMPA-MPA-SAB-0042 SABMPA-MPA-SAB-0043 SABMPA-MPA-SAB-0044 SABMPA-MPA-SAB-0045 SABMPA-MPA-SAB-0046 SABMPA-MPA-SAB-0048 SABMPA-MPA-SAB-0049 SABMPA-MPA-SAB-0052 SABMPA-MPA-SAB-0053 SABMPA-MPA-SAB-0054 SABMPA-MPA-SAB-0055 SABMPA-MPA-SAB-0057 SABMPA-MPA-SAB-0058 SABMPA-MPA-SAB-0059 SABMPA-MPA-SAB-0060 SABMPA-MPA-SAB-23-MOR-02-2023-10-05 SABMPA-MPA-SAB-23-MOR-03-2023-10-05 SABMPA-MPA-SAB-23-MOR-04-2023-10-05 SABMPA-MPA-SAB-23-MOR-10-2023-10-06 SABMPA-MPA-SAB-23-MOR-16-2023-10-06 SABMPA-MPA-SAB-23-MOR-17-2023-10-06 SABMPA-MPA-SAB-23-MOR-19-2023-10-06 SABMPA-MPA-SAB-23-MOR-28-2023-10-06 SABMPA-MPA-SAB-23-MOR-30-2023-11-26 SABMPA-MPA-SAB-23-MOR-40-2023-11-26 SABMPA-MPA-SAB-23-MOR-41-2023-11-26 SABMPA-MPA-SAB-23-MOR-54-2023-11-26 SABMPA-MPA-SAB-23-MOR-57-2023-11-26 SABMPA-MPA-SAB-23-MOR-58-2023-11-26 SABMPA-MPA-SAB-23-MOR-60-2023-11-26 SABMPA-MPA-SAB-23-MOR-61-2023-11-26 SABMPA-MPA-SAB-23-MOR-64-2023-11-26 SABMPA-MPA-SAB-23-MOR-67-2023-11-26 SABMPA-MPA-SAB-24-MOR-27-2024-12-04"
"7","OTN.V2LEMERA",17,2128,2019-05-06 20:59:47,2025-06-07 14:46:57,46.5669684774432,-60.1904128430444,"SABMPA-1261739-2022-12-05 SABMPA-1261748-2022-12-05 SABMPA-1261756-2022-12-05 SABMPA-1261760-2022-12-05 SABMPA-1261769-2022-12-05 SABMPA-1261772-2022-12-05 SABMPA-1346228-2022-12-05 SABMPA-MPA-SAB-0031 SABMPA-MPA-SAB-23-MOR-10-2023-10-06 SABMPA-MPA-SAB-23-MOR-11-2023-10-06 SABMPA-MPA-SAB-23-MOR-30-2023-11-26 SABMPA-MPA-SAB-23-MOR-36-2023-11-26 SABMPA-MPA-SAB-23-MOR-39-2023-11-26 SABMPA-MPA-SAB-23-MOR-60-2023-11-26 SABMPA-MPA-SAB-24-MOR-18-2024-12-04 SABMPA-MPA-SAB-24-MOR-21-2024-12-04 SABMPA-MPA-SAB-24-MOR-26-2024-12-04"
"8","OTN.V2LGSL",1,18,2024-05-09 03:24:45,2024-05-09 04:11:34,48.04083,-61.16233,"SABMPA-MPA-SAB-23-MOR-60-2023-11-26"
"9","OTN.ZSC",1,20,2018-06-07 12:43:47,2018-06-08 14:31:50,47.0315,-60.65098,"SABMPA-MPA-SAB-0038"
