"","array_design","Earliest_Detection","Latest_Detection","Average_Start","Average_End","Total_Stations"
"1","Double Gate (N/S)",2015-06-10 02:14:56,2021-08-01 04:57:20,2015-12-16 13:35:40.377778,2021-02-02 21:48:43.066667,45
"2","Single Gate (2021)",2021-08-14 14:22:07,2025-04-01 11:24:50,2021-12-26 09:11:41.466667,2024-04-19 00:04:02.577778,45
