"","station","num_fish","num_dets","first_det","last_det","mean_lat","mean_lon","animals"
"1","1",2,10,2023-05-07 10:25:46.4625,2023-06-14 23:37:07.3604,46.7136,-61.18188,"SABMPA-1261767-2022-12-05 SABMPA-1346222-2022-12-05"
"2","10",1,131,2023-05-24 06:46:12.5393,2023-05-26 09:49:58.9477,46.70693,-61.0832600000002,"SABMPA-1261769-2022-12-05"
"3","13",1,2,2023-06-15 19:34:03.8501,2023-06-15 19:49:44.9245,46.71243,-61.05219,"SABMPA-1346222-2022-12-05"
"4","14",3,28,2023-05-07 20:01:48.5098,2023-06-15 15:23:46.4484,46.72682,-61.0822,"SABMPA-1261767-2022-12-05 SABMPA-1261769-2022-12-05 SABMPA-1346222-2022-12-05"
"5","15",1,2,2023-06-09 12:31:54.158,2023-06-09 12:49:50.1015,46.74049,-61.11159,"SABMPA-1261769-2022-12-05"
"6","2021_001",6,108,2022-12-22 00:14:48,2024-07-08 14:32:46,45.9883725925927,-59.3335,"SABMPA-1261752-2022-12-05 SABMPA-1261756-2022-12-05 SABMPA-1261760-2022-12-05 SABMPA-MPA-SAB-23-MOR-16-2023-10-06 SABMPA-MPA-SAB-23-MOR-30-2023-11-26 SABMPA-MPA-SAB-23-MOR-54-2023-11-26"
"7","2021_003",7,104,2022-12-06 12:03:21,2024-06-11 20:27:11,45.9878981730769,-59.30745375,"SABMPA-1261742-2022-12-05 SABMPA-1261756-2022-12-05 SABMPA-1261772-2022-12-05 SABMPA-MPA-SAB-23-MOR-10-2023-10-06 SABMPA-MPA-SAB-23-MOR-16-2023-10-06 SABMPA-MPA-SAB-23-MOR-30-2023-11-26 SABMPA-MPA-SAB-23-MOR-57-2023-11-26"
"8","2021_004",6,161,2022-12-07 21:05:59,2024-05-29 00:28:35,45.987757204969,-59.2940072049688,"SABMPA-1261742-2022-12-05 SABMPA-1261753-2022-12-05 SABMPA-1261772-2022-12-05 SABMPA-1346223-2022-12-05 SABMPA-MPA-SAB-23-MOR-10-2023-10-06 SABMPA-MPA-SAB-23-MOR-16-2023-10-06"
"9","2021_005",8,150,2022-12-07 22:38:03,2024-05-28 23:07:40,45.9877886666668,-59.2797493333333,"SABMPA-1261741-2022-12-05 SABMPA-1261742-2022-12-05 SABMPA-1261746-2022-12-05 SABMPA-1261753-2022-12-05 SABMPA-1261772-2022-12-05 SABMPA-1346222-2022-12-05 SABMPA-MPA-SAB-23-MOR-10-2023-10-06 SABMPA-MPA-SAB-23-MOR-16-2023-10-06"
"10","2021_006",15,465,2022-12-08 00:40:41,2024-06-21 18:16:03,45.9879035913982,-59.2665755483874,"SABMPA-1261740-2022-12-05 SABMPA-1261741-2022-12-05 SABMPA-1261742-2022-12-05 SABMPA-1261746-2022-12-05 SABMPA-1261754-2022-12-05 SABMPA-1261756-2022-12-05 SABMPA-1261760-2022-12-05 SABMPA-1261770-2022-12-05 SABMPA-1261772-2022-12-05 SABMPA-1346222-2022-12-05 SABMPA-MPA-SAB-23-MOR-16-2023-10-06 SABMPA-MPA-SAB-23-MOR-17-2023-10-06 SABMPA-MPA-SAB-23-MOR-19-2023-10-06 SABMPA-MPA-SAB-23-MOR-30-2023-11-26 SABMPA-MPA-SAB-23-MOR-58-2023-11-26"
"11","2021_007",11,292,2023-08-27 02:57:59,2024-06-22 00:15:42,45.9883000000003,-59.2537300000002,"SABMPA-1261739-2022-12-05 SABMPA-1261740-2022-12-05 SABMPA-1261742-2022-12-05 SABMPA-1261753-2022-12-05 SABMPA-1261754-2022-12-05 SABMPA-1261760-2022-12-05 SABMPA-1346221-2022-12-06 SABMPA-MPA-SAB-23-MOR-17-2023-10-06 SABMPA-MPA-SAB-23-MOR-19-2023-10-06 SABMPA-MPA-SAB-23-MOR-30-2023-11-26 SABMPA-MPA-SAB-23-MOR-58-2023-11-26"
