"station","depth","lon","lat"
"sb_osw_1",-94.682502746582,-59.5269241975941,46.4722340800672
"sb_osw_2",-99.875,-59.5227212361493,46.5381092073544
"sb_osw_3",-94.75,-59.6263518423293,46.4092104588591
"sb_osw_4",-78.370002746582,-59.6222780366901,46.4750931722794
"sb_osw_5",-84.245002746582,-59.6181899244124,46.5409748467869
"sb_osw_6",-97.745002746582,-59.6140874428813,46.6068554811862
"sb_osw_7",-68.3099975585938,-59.7176461823608,46.4778728881764
"sb_osw_8",-67.5650024414062,-59.7136729818649,46.5437609287933
"sb_osw_9",-65.1849975585938,-59.7096858141445,46.6096479445837
"sb_osw_10",-93.4349975585938,-59.7056846179487,46.6755339344211
"sb_osw_11",-57.497501373291,-59.8130282343174,46.4805731974542
"sb_osw_12",-56.497501373291,-59.8091700064796,46.5464674229448
"sb_osw_13",-62.1875,-59.8052982138202,46.6123606384599
"sb_osw_14",-78.495002746582,-59.8014127968399,46.6782528429434
"sb_osw_15",-98.625,-59.7975136956733,46.7441440353367
"sb_osw_16",-56.8074989318848,-59.9084237918997,46.4831940706665
"sb_osw_17",-59.002498626709,-59.9046805958555,46.5490942996738
"sb_osw_18",-62.752498626709,-59.9009242377558,46.614993533125
"sb_osw_19",-65.1224975585938,-59.8971546598559,46.6808917700328
"sb_osw_20",-104.872497558594,-59.8933718040554,46.7467890094073
"sb_osw_21",-76.8724975585938,-60.0038324540869,46.4857354792261
"sb_osw_22",-80.1224975585938,-60.0002043472279,46.551641530275
"sb_osw_23",-96.6224975585938,-59.9965634814325,46.6175465997554
"sb_osw_24",-110.8125,-59.9929098007129,46.6834506867464
