OTN_ARRAY,STATION_NO,DEPLOY_DATE_TIME   (yyyy-mm-ddThh:mm:ss),DEPLOY_LAT,DEPLOY_LONG,BOTTOM_DEPTH,RISER_LENGTH,INSTRUMENT_DEPTH,INS_MODEL_NO,INS_SERIAL_NO,CODE_SET,TRANSMITTER,TRANSMIT_MODEL,AR_MODEL_NO,AR_SERIAL_NO,DEPLOYED_BY (Lead Technicians),RECOVERED (y/n/l),RECOVER_DATE_TIME (yyyy-mm-ddThh:mm:ss),RECOVER_LAT (dd.ddddd),RECOVER_LONG (ddd.ddddd),DATA_DOWNLOADED (y/n),DOWNLOAD_DATE_TIME (yyyy-mm-ddThh:mm:ss),FILENAME,COMMENTS
KIPCA,KIPCA_01,2025-06-10T13:06:00,46.34837,-60.402936,21.9,2,20.4,VR2AR,552449,MAP-115,A69-1601-60519,SYNC,VR2AR,552449,"Harri Pettitt-Wade, Shea Denny, Ryan Stanley, Camille Mancion",,,,,,,,
KIPCA,KIPCA_02,2025-06-10T13:18:00,46.354228,-60.421915,32.1,2,30.6,VR2AR,551432,MAP-115,A69-1601-60124,SYNC,VR2AR,551432,"Harri Pettitt-Wade, Shea Denny, Ryan Stanley, Camille Mancion",,,,,,,,
KIPCA,KIPCA_03,2025-06-10T13:38:00,46.354363,-60.447096,34,0,32.5,VR2AR,552445,MAP-115,A69-1601-60515,SYNC,VR2AR,552445,"Harri Pettitt-Wade, Shea Denny, Ryan Stanley, Camille Mancion",,,,,,,,ARC rope retrieval unit
KIPCA,KIPCA_04,2025-06-10T14:02:00,46.377198,-60.392662,31.4,0,29.9,VR2AR,552452,MAP-115,A69-1601-60583,SYNC,VR2AR,552452,"Harri Pettitt-Wade, Shea Denny, Ryan Stanley, Camille Mancion",,,,,,,,ARC rope retrieval unit
KIPCA,KIPCA_05,2025-06-10T14:20:00,46.397417,-60.370373,30.1,2,28.6,VR2AR,546339,MAP-115,A69-1601-60803,SYNC,VR2AR,546339,"Harri Pettitt-Wade, Shea Denny, Ryan Stanley, Camille Mancion",,,,,,,,
KIPCA,KIPCA_06,2025-06-10T14:28:00,46.408195,-60.35971,32.1,2,30.6,VR2AR,552455,MAP-115,A69-1601-60586,SYNC,VR2AR,552455,"Harri Pettitt-Wade, Shea Denny, Ryan Stanley, Camille Mancion",,,,,,,,ARC rope retrieval unit
KIPCA,KIPCA_07,2025-06-10T14:38:00,46.417602,-60.348135,38.4,0,36.9,VR2AR,552446,MAP-115,A69-1601-60516,SYNC,VR2AR,552446,"Harri Pettitt-Wade, Shea Denny, Ryan Stanley, Camille Mancion",,,,,,,,ARC rope retrieval unit
KIPCA,KIPCA_08,2025-06-10T14:45:00,46.40488,-60.345322,33,2,31.5,VR2AR,546356,MAP-115,A69-1601-60820,SYNC,VR2AR,546356,"Harri Pettitt-Wade, Shea Denny, Ryan Stanley, Camille Mancion",,,,,,,,
KIPCA,KIPCA_09,2025-06-10T14:52:00,46.394239,-60.353832,25.9,0,24.4,VR2AR,546350,MAP-115,A69-1601-60814,SYNC,VR2AR,546350,"Harri Pettitt-Wade, Shea Denny, Ryan Stanley, Camille Mancion",,,,,,,,ARC rope retrieval unit
KIPCA,KIPCA_10,2025-06-10T15:05:00,46.369889,-60.379242,24.7,0,23.2,VR2AR,546379,MAP-115,A69-1601-60843,SYNC,VR2AR,546379,"Harri Pettitt-Wade, Shea Denny, Ryan Stanley, Camille Mancion",,,,,,,,
