"latitude","longitude","name","type"
46.040868835959,-59.47860702861,"NSB09_03_a","Camera drop - Campod"
46.2317194811036,-59.1967245558923,"SAB 1","Camera drop - Campod"
46.1458733937862,-59.0254727617958,"SAB 2","Camera drop - Campod"
45.9846385010597,-59.0400928342019,"SB09_01a","Camera drop - Campod"
45.9655893120069,-59.2515352272224,"SB09_02","Camera drop - Campod"
46.0323266839027,-59.4697481963214,"SB09_03_a","Camera drop - Campod"
46.05916667,-59.31083333,"NED2017020-154","Camera drop - rv"
45.899,-59.53,"NED2019030-203","Camera drop - rv"
45.90716667,-59.05383333,"NED2019030-215","Camera drop - rv"
46.028,-59.02133333,"NED2019030-216","Camera drop - rv"
46.146,-59.071,"NED2019030-217","Camera drop - rv"
45.90716667,-59.05383333,"Gravel-mud_3","RV sets"
46.028,-59.02133333,"Mud_3","RV sets"
45.899,-59.53,"Sand-SandDollars_3","RV sets"
46.05916667,-59.31083333,"Till-coraline algae_7","RV sets"
46.146,-59.071,"Till-gravel_8","RV sets"
46.0326394581818,-58.9103889579838,"Gravel-crinoids_1","St Anns Bank Stratified eDNA"
46.0331813316427,-58.9183199451489,"Gravel-crinoids_2","St Anns Bank Stratified eDNA"
45.9450058808976,-59.3121797854631,"Gravel-crinoids_3","St Anns Bank Stratified eDNA"
45.8451014410102,-59.4170411149624,"Gravel-mud_1","St Anns Bank Stratified eDNA"
45.832368528447,-59.583551999048,"Gravel-mud_1","St Anns Bank Stratified eDNA"
45.9974773937792,-59.0072897050215,"Gravel-mud_1","St Anns Bank Stratified eDNA"
45.845509866324,-59.5049616590084,"Gravel-mud_2","St Anns Bank Stratified eDNA"
45.9815185177334,-58.9946008576794,"Gravel-mud_2","St Anns Bank Stratified eDNA"
45.9846385010597,-59.0400928342019,"Gravel-mud_2 - CP","St Anns Bank Stratified eDNA"
45.8464504711905,-59.5217140619471,"Gravel-mud_3","St Anns Bank Stratified eDNA"
45.9653913241204,-58.9838941825911,"Gravel-mud_3","St Anns Bank Stratified eDNA"
45.8972241828615,-59.1633317008778,"Mud_1","St Anns Bank Stratified eDNA"
46.0383225963446,-59.3409357877005,"Mud_1","St Anns Bank Stratified eDNA"
45.9758614446411,-58.9877708408964,"Mud_1","St Anns Bank Stratified eDNA"
46.0428254222404,-59.3534482735313,"Mud_2","St Anns Bank Stratified eDNA"
45.9781766950465,-58.9346625461405,"Mud_2","St Anns Bank Stratified eDNA"
45.8812846305433,-59.5394619796448,"Mud_3","St Anns Bank Stratified eDNA"
45.985830520329,-58.9728871410367,"Mud_3","St Anns Bank Stratified eDNA"
45.9383695323867,-59.4735848720704,"Sand-SandDollars_1","St Anns Bank Stratified eDNA"
45.8257144892194,-59.5767118435332,"Sand-SandDollars_1","St Anns Bank Stratified eDNA"
45.826856834147,-59.4682156111024,"Sand-SandDollars_2","St Anns Bank Stratified eDNA"
45.8279892452408,-59.5624919356614,"Sand-SandDollars_2","St Anns Bank Stratified eDNA"
45.8464278841342,-59.4917199470438,"Sand-SandDollars_3","St Anns Bank Stratified eDNA"
45.8812846305433,-59.5394619796448,"Till-coraline algae_1","St Anns Bank Stratified eDNA"
46.0436101630768,-59.5347396732806,"Till-coraline algae_2","St Anns Bank Stratified eDNA"
46.040868835959,-59.47860702861,"Till-coraline algae_3 - CP","St Anns Bank Stratified eDNA"
46.0323266839027,-59.4697481963214,"Till-coraline algae_4 - CP","St Anns Bank Stratified eDNA"
45.9655893120069,-59.2515352272224,"Till-coraline algae_6 - CP","St Anns Bank Stratified eDNA"
46.0134492790248,-59.3672731328214,"Till-gravel_1","St Anns Bank Stratified eDNA"
45.9677816352303,-59.0236457434314,"Till-gravel_1","St Anns Bank Stratified eDNA"
46.0312580884487,-59.3360467969358,"Till-gravel_2","St Anns Bank Stratified eDNA"
45.932955194781,-58.938911841581,"Till-gravel_2","St Anns Bank Stratified eDNA"
45.8597546205757,-59.5266655017962,"Till-gravel_3","St Anns Bank Stratified eDNA"
45.9622245583452,-58.9238015359724,"Till-gravel_3","St Anns Bank Stratified eDNA"
46.2317194811036,-59.1967245558923,"Till-gravel_6 - CP","St Anns Bank Stratified eDNA"
46.1458733937862,-59.0254727617958,"Till-gravel_7 - CP","St Anns Bank Stratified eDNA"
46.208,-59.0608,"Mud_2 - DT","eDNA depth transect"
45.9889,-59.2115,"Till-coraline algae_1 - DT","eDNA depth transect"
45.9971,-59.206,"Till-coraline algae_2 - DT","eDNA depth transect"
46.0092,-59.1976,"Till-coraline algae_3 - DT","eDNA depth transect"
45.9947,-59.2016,"Till-coraline algae_4 - DT","eDNA depth transect"
46.0033,-59.1867,"Till-coraline algae_5 - DT","eDNA depth transect"
46.062,-59.1614,"Till-gravel_1 - DT","eDNA depth transect"
46.135,-59.1112,"Till-gravel_2 - DT","eDNA depth transect"
46.0406,-59.1221,"Till-gravel_3 - DT","eDNA depth transect"
46.0922,-59.0324,"Till-gravel_4 - DT","eDNA depth transect"
46.1437,-58.9426,"Till-gravel_5 - DT","eDNA depth transect"
