"Station","Date","type","lat","lon"
"SAB_01","8/14/2023","eDNA",45.840875,-59.64083
"SAB_02","8/14/2023","eDNA",45.8272983333333,-59.6238333333333
"SAB_03","8/14/2023","eDNA",45.8323766666667,-59.5844166666667
"SAB_04","8/14/2023","eDNA",45.8350833333333,-59.541815
"SAB_05","8/14/2023","eDNA",45.84685,-59.5237116666667
"SAB_06","8/14/2023","eDNA",45.8461466666667,-59.5048633333333
"SAB_07","8/14/2023","eDNA",45.8345983333333,-59.4906683333333
"SAB_08","8/14/2023","eDNA",45.8260333333333,-59.4167566666667
"SAB_09","8/15/2023","Paired",45.9428366666667,-59.31585
"SAB_10","8/15/2023","eDNA",45.9643066666667,-59.2529166666667
"SAB_11","8/15/2023","eDNA",45.9832383333333,-59.23123
"SAB_12","8/15/2023","Paired",45.990535,-59.2092866666667
"SAB_13","8/15/2023","eDNA",45.9480216666667,-59.4842366666667
"SAB_14","8/16/2023","eDNA",45.9963266666667,-59.2069583333333
"SAB_15","8/16/2023","eDNA",46.0098183333333,-59.19741
"SAB_16","8/16/2023","eDNA",45.9958866666667,-59.2018433333333
"SAB_17","8/16/2023","eDNA",46.0043816666667,-59.1859983333333
"SAB_18","8/16/2023","Paired",45.9096816666667,-58.9891883333333
"SAB_19","8/16/2023","Paired",45.9049983333333,-59.0246083333333
"SAB_20","8/16/2023","Paired",45.9071433333333,-59.0477916666667
"SAB_21","8/17/2023","Paired",45.8894816666667,-59.6099933333333
"SAB_22","8/17/2023","Paired",45.89367,-59.5998566666667
"SAB_23","8/17/2023","Paired",45.949175,-59.4859566666667
"SAB_24","8/17/2023","Paired",46.04188,-59.4775033333333
"SAB_25","8/18/2023","eDNA",45.8959283333333,-59.5600016666667
"SAB_26","8/18/2023","eDNA",45.8979833333333,-59.5053216666667
"SAB_27","8/18/2023","eDNA",45.8991183333333,-59.532105
"SAB_28","8/18/2023","eDNA",45.8810366666667,-59.5407066666667
"SAB_29","8/18/2023","eDNA",45.9047016666667,-59.5217983333333
"SAB_30","8/18/2023","eDNA",46.0375333333333,-59.3413066666667
"SAB_31","8/18/2023","eDNA",46.0430683333333,-59.3538666666667
"SAB_60","8/21/2023","Paired",46.0957283333333,-59.6351033333333
"SAB_61","8/21/2023","Paired",46.1268833333333,-59.63169
"SAB_62","8/21/2023","Paired",46.14038,-59.5827666666667
"SAB_63","8/21/2023","eDNA",45.9920216666667,-59.6092283333333
"SAB_22REAL","8/23/2023","Paired",45.988175,-59.047015
"SAB_21REAL","8/23/2023","Paired",45.9974583333333,-58.870315
"SAB_25REAL","8/23/2023","eDNA",45.9913033333333,-58.9308383333333
"SCATARIE2","8/23/2023","Paired",45.9890283333333,-59.2084533333333
