"Kingdom","Phylum","Class","Order","Family","Genus","Species","aphiaID","species_filter","common"
"Animalia","Annelida","Polychaeta",NA,"Scalibregmatidae","Polyphysia","Polyphysia crassa",130977,130977,NA
"Animalia","Cnidaria","Octocorallia","Scleralcyonacea","Primnoidae","Primnoa","Primnoa pacifica",286539,286539,"Pacific red tree coral"
"Animalia","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Pseudocalanus","Pseudocalanus acuspes",104514,104514,NA
"Animalia","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Pseudocalanus","Pseudocalanus minutus",104517,104517,NA
"Animalia","Echinodermata","Crinoidea","Comatulida","Antedonidae","Solanometra","Solanometra antarctica",173988,173988,NA
"Animalia","Annelida","Polychaeta","Terebellida","Sternaspidae","Sternaspis","Sternaspis scutata",131242,131242,"スベスベウミダルマ"
"Animalia","Annelida","Polychaeta","Terebellida","Trichobranchidae","Terebellides","Terebellides williamsae",334910,334910,NA
"Animalia","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Thysanoessa","Thysanoessa longicaudata",110709,110709,NA
"Animalia","Mollusca","Bivalvia","Nuculanida","Yoldiidae","Yoldia","Yoldia scissurata",254765,254765,NA
"Animalia","Mollusca","Bivalvia","Nuculanida","Yoldiidae","Yoldiella","Yoldiella frigida",141997,141997,NA
"Animalia","Echinodermata","Ophiuroidea","Amphilepidida","Amphiuridae","Amphiura","Amphiura joubini",173116,173116,NA
"Animalia","Chordata","Teleostei","Myctophiformes","Myctophidae","Benthosema","Benthosema glaciale",126580,126580,"Glacier lanternfish"
"Animalia","Cnidaria","Hydrozoa","Trachymedusae","Halicreatidae","Botrynema","Botrynema brucei",117615,117615,"トックリクラゲ"
"Animalia","Annelida","Polychaeta","Terebellida","Flabelligeridae","Brada","Brada villosa",130099,130099,NA
"Animalia","Mollusca","Gastropoda","Nudibranchia","Coryphellidae","Coryphella","Coryphella verrucosa",139987,139987,"Rotrückige Fadenschnecke"
"Animalia","Echinodermata","Asteroidea","Paxillosida","Ctenodiscidae","Ctenodiscus","Ctenodiscus crispatus",123915,123915,"Common mud star"
"Animalia","Mollusca","Bivalvia","Adapedonta","Hiatellidae","Cyrtodaria","Cyrtodaria siliqua",140102,140102,"Northern propellerclam"
"Animalia","Cnidaria","Hydrozoa","Anthoathecata","Eudendriidae","Eudendrium","Eudendrium rameum",117554,117554,"Bäumchenpolyp"
"Animalia","Annelida","Polychaeta","Terebellida","Flabelligeridae","Flabelligera","Flabelligera affinis",130103,130103,"カンテンハボウキ"
"Animalia","Cnidaria","Octocorallia","Malacalcyonacea","Alcyoniidae","Gersemia","Gersemia rubiformis",156103,156103,"Red soft coral"
"Animalia","Cnidaria","Hexacorallia","Actiniaria","Metridiidae","Metridium","Metridium senile",100982,100982,"Brown sea anemone"
"Animalia","Mollusca","Bivalvia","Mytilida","Modiolidae","Modiolus","Modiolus modiolus",140467,140467,"Horse mussel"
"Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Neoamphitrite","Neoamphitrite affinis",131502,131502,NA
"Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Nicolea","Nicolea zostericola",131508,131508,NA
"Animalia","Echinodermata","Holothuroidea","Dendrochirotida","Phyllophoridae","Pentamera","Pentamera calcigera",124655,124655,"Stony sea cucumber"
"Animalia","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Pseudocalanus","Pseudocalanus moultoni",157678,157678,NA
"Plantae",NA,"Florideophyceae","Ceramiales","Wrangeliaceae","Ptilota","Ptilota serrata",144687,144687,NA
"Animalia","Annelida","Polychaeta","Terebellida","Ampharetidae","Sabellides","Sabellides octocirrata",129818,129818,NA
"Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera musculus",137090,137090,"Blue rorqual"
"Animalia","Chordata","Teleostei","Perciformes","Hemitripteridae","Hemitripterus","Hemitripterus americanus",159518,159518,"Sea raven"
"Animalia","Chordata","Mammalia","Cetartiodactyla","Ziphiidae","Mesoplodon","Mesoplodon bidens",137121,137121,"North Atlantic beaked whale"
"Animalia","Arthropoda","Copepoda","Calanoida","Acartiidae","Acartia","Acartia (Acartiura) hudsonica",149751,149751,NA
"Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Pista","Pista maculata",868065,868065,NA
"Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Pista","Pista maculata",868065,868065,NA
