"","Year","Zone","Longitude","Latitude"
"1",2022,"1",-59.4595981982907,45.9320150697628
"2",2022,"1",-59.2991666666667,45.95435
"3",2022,"1",-59.2328347643749,45.9729954005064
"4",2022,"1",-59.268259663886,45.9492964026151
"5",2022,"1",-59.2065952663787,45.9651190950643
"6",2022,"1",-59.2279166650371,45.9632500051179
"7",2022,"2a",-59.5878392143622,45.9040340954241
"8",2023,"1",-59.2252695674907,45.9760743686635
"9",2023,"2a",-59.5930602969844,45.8973902559855
"10",2023,"2a",-59.5691759651337,45.9646061724491
"11",2023,"2a",-59.5877350210756,45.9291000030406
"12",2023,"2a",-59.5769157590004,45.9389567609736
"13",2023,"2a",-59.5441841409265,45.9769651198438
"14",2024,"1",-59.2171912677632,45.9779116145404
"15",2024,"1",-59.1815,45.94427
"16",2024,"1",-59.1766966666456,45.9561000000024
"17",2024,"1",-59.3013063917619,45.939606199846
"18",2024,"1",-59.3516900014435,45.9272000145351
"19",2025,"1",-58.9228515289025,46.1899079715462
"20",2025,"1",-58.9365299615783,46.2123340490873
"21",2025,"1",-58.9590850019334,46.1949200000315
"22",2025,"1",-58.9274465937274,46.1699183462433
"23",2025,"1",-59.104,45.898415
"24",2025,"2c",-58.8779007246153,46.1595831222471
"25",2025,"2c",-58.8908299977309,46.12508000109
"26",2025,"2c",-58.8752499651521,46.1210000160726
