"station","activity","depth","deg_lon","dm_lon","deg_lat","dm_lat","lon","lat","group"
"Cam3_D","Camera/eDNA",43.1,-59,15.0985199999998,45,57.9123599999997,-59.251642,45.965206,"Scattarie Bank"
"eDNA_12","eDNA",33.6,-59,12.6899999999996,45,59.3339999999996,-59.2115,45.9889,"Scattarie Bank"
"eDNA_13","eDNA",50.6,-59,12.3600000000002,45,59.8259999999998,-59.206,45.9971,"Scattarie Bank"
"eDNA_14","eDNA",59.4,-59,11.8560000000005,46,0.551999999999566,-59.1976,46.0092,"Scattarie Bank"
"eDNA_15","eDNA",46.1,-59,12.0959999999999,45,59.6820000000001,-59.2016,45.9947,"Scattarie Bank"
"eDNA_16","eDNA",61.6,-59,11.2020000000001,46,0.198000000000178,-59.1867,46.0033,"Scattarie Bank"
"eDNA_7","eDNA",83.7,-59,9.68400000000003,46,3.71999999999986,-59.1614,46.062,"Scattarie Bank"
"eDNA_9","eDNA",86.1,-59,7.32600000000062,46,2.43599999999944,-59.1221,46.0406,"Scattarie Bank"
"Cam23_F","Camera/eDNA",83.6,-59,32.5233336000001,45,50.0899997999997,-59.54205556,45.83483333,"Western cluster 1"
"eDNA_17","eDNA",87.4,-59,35.0131199428782,45,49.9421117068187,-59.583551999048,45.832368528447,"Western cluster 1"
"eDNA_18","eDNA",81.9,-59,30.2976995405037,45,50.7305919794371,-59.5049616590084,45.845509866324,"Western cluster 1"
"eDNA_19","eDNA",81.4,-59,31.3028437168235,45,50.7870282714313,-59.5217140619471,45.8464504711905,"Western cluster 1"
"eDNA_23","eDNA",84.2,-59,37.4188364070181,45,49.6727843604182,-59.6236472734503,45.8278797393403,"Western cluster 1"
"eDNA_25","eDNA",72,-59,38.3611699129439,45,50.4484151894411,-59.6393528318824,45.840806919824,"Western cluster 1"
"eDNA_5","eDNA",90.2,-59,29.4347945566091,45,50.0828816023963,-59.4905799092768,45.8347146933733,"Western cluster 1"
"eDNA_6","eDNA",101.4,-59,24.9225940351207,45,49.5700507342247,-59.415376567252,45.8261675122371,"Western cluster 1"
"Cam13_F","Camera/eDNA",57.4,-59,31.8000000000001,45,53.9400000000001,-59.53,45.899,"Western cluster 2"
"Cam14_D","Camera/eDNA",43.1,-59,30.2889780000001,45,53.9400696000007,-59.5048163,45.89900116,"Western cluster 2"
