"X","OTN_ARRAY","OTN_ARRAY_2","OTN_ARRAY_3","STATION_NO","STATION_NO2","DEPLOY_DATE_TIME_UTC","BOTTOM_DEPTH","INS_MODEL_NO","RECEIVER_SN","RECEIVER_TAG_ID","RECOVERED","RECOVER_DATE_TIME_UTC","YEAR_DEPLOYED","Assigned_c","X.1","depth"
122,"SABMPA","SAB_OLD","SAB_NORTH","N113","N13","2020-08-22T18:15:00",NA,"VR2AR",546074,"A69-1601-60538","Y","2021-08-10T10:50:00",2020,"C - Till >50% cobbles/gravel"," 46.20802)",115.9
123,"SABMPA","SAB_OLD","SAB_NORTH","N112","N12","2020-08-22T18:22:00",NA,"VR2AR",545778,"A69-1601-60242","Y","2021-08-10T10:39:00",2020,"C - Till >50% cobbles/gravel"," 46.20418)",108.7
124,"SABMPA","SAB_OLD","SAB_NORTH","N111","N11","2020-08-22T18:31:00",NA,"VR2AR",546072,"A69-1601-60536","Y","2021-08-10T10:27:00",2020,"C - Till >50% cobbles/gravel"," 46.20022)",100.3
125,"SABMPA","SAB_OLD","SAB_NORTH","N110","N10","2020-08-22T18:40:00",NA,"VR2AR",546078,"A69-1601-60542","Y","2021-08-10T10:13:00",2020,"C - Till >50% cobbles/gravel"," 46.19659)",95.5
126,"SABMPA","SAB_OLD","SAB_NORTH","N109","N9","2020-08-22T18:57:00",NA,"VR2AR",546079,"A69-1601-60543","Y","2021-08-10T10:04:00",2020,"C - Till >50% cobbles/gravel"," 46.19253)",92.1
127,"SABMPA","SAB_OLD","SAB_NORTH","N108","N8","2020-08-22T19:06:00",NA,"VR2AR",546089,"A69-1601-60553","Y","2021-08-10T09:51:00",2020,"C - Till >50% cobbles/gravel"," 46.18898)",84
128,"SABMPA","SAB_OLD","SAB_NORTH","N107","N7","2020-08-22T19:15:00",NA,"VR2AR",546083,"A69-1601-60547","Y","2021-08-10T09:42:00",2020,"C - Till >50% cobbles/gravel"," 46.18385)",80.5
129,"SABMPA","SAB_OLD","SAB_NORTH","N106","N6","2020-08-22T19:25:00",NA,"VR2AR",546080,"A69-1601-60544","Y","2021-08-10T09:27:00",2020,"C - Till >50% cobbles/gravel"," 46.18124)",75.6
130,"SABMPA","SAB_OLD","SAB_NORTH","N105","N5","2020-08-22T19:36:00",NA,"VR2AR",546082,"A69-1601-60546","Y","2021-08-10T09:18:00",2020,"C - Till >50% cobbles/gravel"," 46.17721)",77.9
131,"SABMPA","SAB_OLD","SAB_NORTH","N104","N4","2020-08-22T19:50:00",NA,"VR2AR",546071,"A69-1601-60535","Y","2021-08-10T09:06:00",2020,"C - Till >50% cobbles/gravel"," 46.17335)",81.2
132,"SABMPA","SAB_NEW","SAB_NEW","2021_17","2021_17","2021-08-10T21:48:00",NA,"VR2AR",546076,"A69-1601-60540","Y","2022-08-06T14:08:00",2021,"C - Till >50% cobbles/gravel"," 45.98791)",87.7
133,"SABMPA","SAB_NEW","SAB_NEW","2021_16","2021_16","2021-08-10T21:53:00",NA,"VR2AR",546088,"A69-1601-60552","Y","2022-08-06T14:17:00",2021,"C - Till >50% cobbles/gravel"," 45.98807)",65.6
134,"SABMPA","SAB_NEW","SAB_NEW","2021_14","2021_14","2021-08-10T22:02:00",NA,"VR2AR",547101,"A69-1601-61565","Y","2022-08-06T14:50:00",2021,"C - Till >50% cobbles/gravel"," 45.988)",57.4
135,"SABMPA","SAB_NEW","SAB_NEW","2021_03","2021_03","2021-08-10T22:55:00",NA,"VR2AR",545713,"A69-1601-60177","Y","2022-08-06T17:38:00",2021,"C - Till >50% cobbles/gravel"," 45.98773)",78.1
136,"SABMPA","SAB_NEW","SAB_NEW","2021_01","2021_01","2021-08-10T23:04:00",NA,"VR2AR",545769,"A69-1601-60233","Y","2022-08-06T17:55:00",2021,"C - Till >50% cobbles/gravel"," 45.98766)",86.8
137,"SABMPA","SAB_NEW","SAB_NEW","2021_17","2021_17","2022-08-06T14:09:00",NA,"VR2AR",547102,"A69-1601-61566","Y","2023-08-16T15:01:00",2022,"C - Till >50% cobbles/gravel"," 45.98791)",87.7
138,"SABMPA","SAB_NEW","SAB_NEW","2021_16","2021_16","2022-08-06T14:19:00",NA,"VR2AR",545714,"A69-1601-60178","Y","2023-08-16T15:09:00",2022,"C - Till >50% cobbles/gravel"," 45.98807)",65.6
139,"SABMPA","SAB_NEW","SAB_NEW","2021_14","2021_14","2022-08-06T14:53:00",NA,"VR2AR",545570,"A69-1601-60034","Y","2023-08-16T15:24:00",2022,"C - Till >50% cobbles/gravel"," 45.988)",57.4
140,"SABMPA","SAB_NEW","SAB_NEW","2021_03","2021_03","2022-08-06T17:38:00",NA,"VR2AR",549710,"A69-1601-60279","Y","2023-08-16T17:16:00",2022,"C - Till >50% cobbles/gravel"," 45.98773)",78.1
141,"SABMPA","SAB_NEW","SAB_NEW","2021_01","2021_01","2022-08-06T17:56:00",NA,"VR2AR",545766,"A69-1601-60230","Y","2023-08-16T18:02:00",2022,"C - Till >50% cobbles/gravel"," 45.98766)",86.8
142,"SABMPA","SAB_NEW","SAB_NEW","2021_13","2021_13","2021-08-10T22:07:00",NA,"VR2AR",545575,"A69-1601-60039","Y","2022-08-06T15:28:00",2021,"D - Till with coraline algae"," 45.98797)",59.9
143,"SABMPA","SAB_NEW","SAB_NEW","2021_12","2021_12","2021-08-10T22:12:00",NA,"VR2AR",546355,"A69-1601-60819","Y","2022-08-06T15:47:00",2021,"D - Till with coraline algae"," 45.98796)",39.1
144,"SABMPA","SAB_NEW","SAB_NEW","2021_11","2021_11","2021-08-10T22:17:00",NA,"VR2AR",546086,"A69-1601-60550","Y","2022-08-06T16:00:00",2021,"D - Till with coraline algae"," 45.98792)",34.1
145,"SABMPA","SAB_NEW","SAB_NEW","2021_10","2021_10","2021-08-10T22:21:00",NA,"VR2AR",546087,"A69-1601-60551","Y","2022-08-06T16:10:00",2021,"D - Till with coraline algae"," 45.98789)",33.6
146,"SABMPA","SAB_NEW","SAB_NEW","2021_09","2021_09","2021-08-10T22:26:00",NA,"VR2AR",547103,"A69-1601-61567","Y","2022-08-06T16:18:00",2021,"D - Till with coraline algae"," 45.98785)",36.4
147,"SABMPA","SAB_NEW","SAB_NEW","2021_08","2021_08","2021-08-10T22:31:00",NA,"VR2AR",549709,"A69-1601-60278","Y","2022-08-06T16:39:00",2021,"D - Till with coraline algae"," 45.98788)",45.2
148,"SABMPA","SAB_NEW","SAB_NEW","2021_06","2021_06","2021-08-10T22:41:00",NA,"VR2AR",549710,"A69-1601-60279","Y","2022-08-06T17:09:00",2021,"D - Till with coraline algae"," 45.98781)",65.5
149,"SABMPA","SAB_NEW","SAB_NEW","2021_05","2021_05","2021-08-10T22:45:00",NA,"VR2AR",545762,"A69-1601-60226","Y","2022-08-06T17:17:00",2021,"D - Till with coraline algae"," 45.98778)",74.5
150,"SABMPA","SAB_NEW","SAB_NEW","2021_13","2021_13","2022-08-06T15:32:00",NA,"VR2AR",546076,"A69-1601-60540","Y","2023-08-16T15:36:00",2022,"D - Till with coraline algae"," 45.98797)",59.9
