"X","OTN_ARRAY","OTN_ARRAY_2","OTN_ARRAY_3","STATION_NO","STATION_NO2","DEPLOY_DATE_TIME_UTC","BOTTOM_DEPTH","INS_MODEL_NO","RECEIVER_SN","RECEIVER_TAG_ID","RECOVERED","RECOVER_DATE_TIME_UTC","YEAR_DEPLOYED","Assigned_c","X.1","depth"
1,"SABMPA","SAB_OLD","SAB_NORTH","N10","N10","2015-05-11T00:00:00",NA,"VR2AR",545780,"A69-1601-60244","Y","2016-04-17T16:25:00",2015,"A - Mud"," 46.21183)",124.8
2,"SABMPA","SAB_OLD","SAB_NORTH","N11","N11","2015-05-11T00:00:00",NA,"VR2AR",545768,"A69-1601-60232","Y","2016-04-17T16:15:00",2015,"A - Mud"," 46.21567)",127.1
3,"SABMPA","SAB_OLD","SAB_NORTH","N12","N12","2015-05-11T00:00:00",NA,"VR2AR",545772,"A69-1601-60236","Y","2016-04-17T16:06:00",2015,"A - Mud"," 46.2195)",129.6
4,"SABMPA","SAB_OLD","SAB_NORTH","N13","N13","2015-05-11T00:00:00",NA,"VR2AR",545779,"A69-1601-60243","Y","2016-04-17T16:32:00",2015,"A - Mud"," 46.22333)",126.2
5,"SABMPA","SAB_OLD","SAB_NORTH","N21","N21","2016-04-17T15:31:45",NA,"VR2AR",546072,"A69-1601-60536","Y","2017-05-05T14:18:47",2016,"A - Mud"," 46.2427133)",131.6
6,"SABMPA","SAB_OLD","SAB_NORTH","N20","N20","2016-04-17T15:36:19",NA,"VR2AR",546078,"A69-1601-60542","Y","2017-05-05T14:27:45",2016,"A - Mud"," 46.2385067)",131.1
7,"SABMPA","SAB_OLD","SAB_NORTH","N19","N19","2016-04-17T15:40:12",NA,"VR2AR",546079,"A69-1601-60543","Y","2017-05-05T14:36:40",2016,"A - Mud"," 46.2342133)",132.8
8,"SABMPA","SAB_OLD","SAB_NORTH","N18","N18","2016-04-17T15:44:02",NA,"VR2AR",546089,"A69-1601-60553","Y","2017-05-05T14:47:12",2016,"A - Mud"," 46.2311183)",127.6
9,"SABMPA","SAB_OLD","SAB_NORTH","N17","N17","2016-04-17T15:48:32",NA,"VR2AR",546083,"A69-1601-60547","Y","2017-05-05T14:56:12",2016,"A - Mud"," 46.22687)",127.6
10,"SABMPA","SAB_OLD","SAB_NORTH","N16","N16","2016-04-17T15:52:07",NA,"VR2AR",546080,"A69-1601-60544","Y","2017-05-05T15:04:28",2016,"A - Mud"," 46.2236)",126.2
11,"SABMPA","SAB_OLD","SAB_NORTH","N12","N12","2016-04-17T16:03:46",NA,"VR2AR",546082,"A69-1601-60546","Y","2017-05-05T15:14:02",2016,"A - Mud"," 46.219645)",129.6
12,"SABMPA","SAB_OLD","SAB_NORTH","N11","N11","2016-04-17T16:13:30",NA,"VR2AR",546071,"A69-1601-60535","Y","2017-05-05T15:21:53",2016,"A - Mud"," 46.2159367)",127.1
13,"SABMPA","SAB_OLD","SAB_NORTH","N10","N10","2016-04-17T16:22:05",NA,"VR2AR",546084,"A69-1601-60548","Y","2017-05-05T15:30:50",2016,"A - Mud"," 46.2115167)",124.8
14,"SABMPA","SAB_OLD","SAB_NORTH","N22","N22","2017-05-05T14:14:32",NA,"VR2AR",545765,"A69-1601-60229","Y","2018-06-10T13:17:54",2017,"A - Mud"," 46.2465883)",141.4
15,"SABMPA","SAB_OLD","SAB_NORTH","N21","N21","2017-05-05T14:18:47",NA,"VR2AR",545784,"A69-1601-60248","Y","2018-06-10T13:26:32",2017,"A - Mud"," 46.2419083)",131.6
16,"SABMPA","SAB_OLD","SAB_NORTH","N20","N20","2017-05-05T14:27:45",NA,"VR2AR",545773,"A69-1601-60237","Y","2018-06-10T13:35:45",2017,"A - Mud"," 46.2383633)",131.1
17,"SABMPA","SAB_OLD","SAB_NORTH","N19","N19","2017-05-05T14:36:40",NA,"VR2AR",546074,"A69-1601-60538","Y","2018-06-10T13:44:42",2017,"A - Mud"," 46.2343883)",132.8
18,"SABMPA","SAB_OLD","SAB_NORTH","N18","N18","2017-05-05T14:47:12",NA,"VR2AR",545778,"A69-1601-60242","Y","2018-06-10T13:54:05",2017,"A - Mud"," 46.230845)",129.2
19,"SABMPA","SAB_OLD","SAB_NORTH","N17","N17","2017-05-05T14:56:12",NA,"VR2AR",546072,"A69-1601-60536","Y","2018-06-10T14:03:11",2017,"A - Mud"," 46.2269667)",127.6
20,"SABMPA","SAB_OLD","SAB_NORTH","N16","N16","2017-05-05T15:04:28",NA,"VR2AR",546078,"A69-1601-60542","Y","2018-06-10T14:10:56",2017,"A - Mud"," 46.2235067)",126.2
21,"SABMPA","SAB_OLD","SAB_NORTH","N12","N12","2017-05-05T15:14:02",NA,"VR2AR",546079,"A69-1601-60543","Y","2018-06-10T14:19:33",2017,"A - Mud"," 46.2194033)",129.6
