FID,datelastmodified,institutioncode,collectioncode,datacenter_reference,catalognumber,scientificname,longitude,latitude,basisofrecord,datecollected,yearcollected,monthcollected,daycollected,timeofday,timezone,coordinateprecision,observedindividualcount,collector,julianday,locality,animal_origin,stock,sex,life_stage,age,age_units,weight,weight_units,length,length_type,length_units,vernacularname,aphiaid,tsn,authorityaccepted,kingdom,phylum,classname,ordername,family,genus,subgenus,species,subspecies,the_geom
animals.fid--28644f0b_19c77057946_-4238,2017-10-04T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-0013,Anarhichas lupus,-59.15143,46.00328,O,2016-06-12T17:37:00,2016,6,12,17.61666667,UTC,,1,,164,SOUTHERN ST.ANNS BANK,W,4Vn,U,,,,,,0.5,TOTAL LENGTH,m,Atlantic striped wolffish,126758,171341,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Perciformes,Anarhichadidae,Anarhichas,,lupus,,POINT (46.00328 -59.15143)
animals.fid--28644f0b_19c77057946_-4237,2017-10-04T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-0007,Anarhichas lupus,-59.16333,45.99683,O,2016-06-11T21:27:00,2016,6,11,21.45,UTC,,1,,163,SOUTHERN ST.ANNS BANK,W,4Vn,U,,,,,,0.49,TOTAL LENGTH,m,Atlantic striped wolffish,126758,171341,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Perciformes,Anarhichadidae,Anarhichas,,lupus,,POINT (45.99683 -59.16333)
animals.fid--28644f0b_19c77057946_-4236,2017-10-04T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-0009,Anarhichas lupus,-59.1794,46.02588,O,2016-06-12T13:23:00,2016,6,12,13.38333333,UTC,,1,,164,SOUTHERN ST.ANNS BANK,W,4Vn,U,,,,,,0.46,TOTAL LENGTH,m,Atlantic striped wolffish,126758,171341,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Perciformes,Anarhichadidae,Anarhichas,,lupus,,POINT (46.02588 -59.1794)
animals.fid--28644f0b_19c77057946_-4235,2017-10-04T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-0008,Anarhichas lupus,-59.14748,46.0108,O,2016-06-12T10:26:00,2016,6,12,10.43333333,UTC,,1,,164,SOUTHERN ST.ANNS BANK,W,4Vn,U,,,,,,0.51,TOTAL LENGTH,m,Atlantic striped wolffish,126758,171341,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Perciformes,Anarhichadidae,Anarhichas,,lupus,,POINT (46.0108 -59.14748)
animals.fid--28644f0b_19c77057946_-4234,2023-02-06T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-SCF0001-2016-06-12,Chionoecetes opilio,-59.15766,45.9762,O,2016-06-12T03:07:00,2016,6,12,3.11666667,UTC,,1,BEN ZISSERSON,164,SOUTHERN ST.ANNS BANK,W,NENS,F,MATURE,2,CarapaceCond.,,,0.064,CARAPACE WIDTH,m,snow crab,107315,98428,"(Fabricius, 1788)",Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Chionoecetes,,opilio,,POINT (45.9762 -59.15766)
animals.fid--28644f0b_19c77057946_-4233,2023-02-06T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-SCF0002-2016-06-12,Chionoecetes opilio,-59.15766,45.9762,O,2016-06-12T03:07:00,2016,6,12,3.11666667,UTC,,1,BEN ZISSERSON,164,SOUTHERN ST.ANNS BANK,W,NENS,F,MATURE,2,CarapaceCond.,,,0.068,CARAPACE WIDTH,m,snow crab,107315,98428,"(Fabricius, 1788)",Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Chionoecetes,,opilio,,POINT (45.9762 -59.15766)
animals.fid--28644f0b_19c77057946_-4232,2023-02-06T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-SCF0003-2016-06-12,Chionoecetes opilio,-59.15766,45.9762,O,2016-06-12T03:07:00,2016,6,12,3.11666667,UTC,,1,BEN ZISSERSON,164,SOUTHERN ST.ANNS BANK,W,NENS,F,MATURE,2,CarapaceCond.,,,0.057,CARAPACE WIDTH,m,snow crab,107315,98428,"(Fabricius, 1788)",Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Chionoecetes,,opilio,,POINT (45.9762 -59.15766)
animals.fid--28644f0b_19c77057946_-4231,2023-02-06T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-SCF0004-2016-06-12,Chionoecetes opilio,-59.15766,45.9762,O,2016-06-12T03:07:00,2016,6,12,3.11666667,UTC,,1,BEN ZISSERSON,164,SOUTHERN ST.ANNS BANK,W,NENS,F,MATURE,2,CarapaceCond.,,,0.06,CARAPACE WIDTH,m,snow crab,107315,98428,"(Fabricius, 1788)",Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Chionoecetes,,opilio,,POINT (45.9762 -59.15766)
animals.fid--28644f0b_19c77057946_-4230,2023-02-06T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-SCF0005-2016-06-12,Chionoecetes opilio,-59.15766,45.9762,O,2016-06-12T03:07:00,2016,6,12,3.11666667,UTC,,1,BEN ZISSERSON,164,SOUTHERN ST.ANNS BANK,W,NENS,F,MATURE,2,CarapaceCond.,,,0.049,CARAPACE WIDTH,m,snow crab,107315,98428,"(Fabricius, 1788)",Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Chionoecetes,,opilio,,POINT (45.9762 -59.15766)
animals.fid--28644f0b_19c77057946_-422f,2023-02-06T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-SCF0006-2016-06-12,Chionoecetes opilio,-59.15766,45.9762,O,2016-06-12T03:07:00,2016,6,12,3.11666667,UTC,,1,BEN ZISSERSON,164,SOUTHERN ST.ANNS BANK,W,NENS,F,MATURE,2,CarapaceCond.,,,0.061,CARAPACE WIDTH,m,snow crab,107315,98428,"(Fabricius, 1788)",Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Chionoecetes,,opilio,,POINT (45.9762 -59.15766)
