SET_SEQ,PRED_SEQ,PREY_SEQ,DATASOURCE,MISSION,SETNO,SDATE,STIME,STRAT,BOTTOM_TEMPERATURE,DEPTH,GEAR,SLATDD,SLONGDD,NAFO_ZONE,NAFO_SUBUNIT,SPEC,FSHNO,FWT,FLEN,STOWGT,EMPTYWGT,FULLNESS,FGEN,PREYSPECCD,PWT,PLEN,PNUM,RANK,DIGESTION,
8989,186535,216241,SCS,S10092019,11,10-Sep-19,1914,,1.62,123,15,46.151,-58.98083,4VN,4VN,201,4154,121,24,4.49,1.97,3,,2600,0.39,,2,,2,
8989,186535,216242,SCS,S10092019,11,10-Sep-19,1914,,1.62,123,15,46.151,-58.98083,4VN,4VN,201,4154,121,24,4.49,1.97,3,,2811,0.08,,2,,2,
8989,186535,216243,SCS,S10092019,11,10-Sep-19,1914,,1.62,123,15,46.151,-58.98083,4VN,4VN,201,4154,121,24,4.49,1.97,3,,2000,2.05,,,,4,
8989,186505,216244,SCS,S10092019,11,10-Sep-19,1914,,1.62,123,15,46.151,-58.98083,4VN,4VN,10,4128,83,21,6.41,2.2,4,,2809,1.17,,15,,2,
8989,186505,216245,SCS,S10092019,11,10-Sep-19,1914,,1.62,123,15,46.151,-58.98083,4VN,4VN,10,4128,83,21,6.41,2.2,4,,2600,3.04,,16,,3,
8989,186506,216246,SCS,S10092019,11,10-Sep-19,1914,,1.62,123,15,46.151,-58.98083,4VN,4VN,10,4129,90,22,6.36,1.36,4,,2800,0.14,,,,4,
8989,186506,216247,SCS,S10092019,11,10-Sep-19,1914,,1.62,123,15,46.151,-58.98083,4VN,4VN,10,4129,90,22,6.36,1.36,4,,2809,0.74,,9,,2,
8989,186506,216248,SCS,S10092019,11,10-Sep-19,1914,,1.62,123,15,46.151,-58.98083,4VN,4VN,10,4129,90,22,6.36,1.36,4,,2600,4.12,,23,,2,
8989,186529,216249,SCS,S10092019,11,10-Sep-19,1914,,1.62,123,15,46.151,-58.98083,4VN,4VN,40,4186,31,16,0.72,0.47,2,,2811,0.08,,1,,2,
8989,186529,216250,SCS,S10092019,11,10-Sep-19,1914,,1.62,123,15,46.151,-58.98083,4VN,4VN,40,4186,31,16,0.72,0.47,2,,9000,0.17,,,,4,
8989,186531,216251,SCS,S10092019,11,10-Sep-19,1914,,1.62,123,15,46.151,-58.98083,4VN,4VN,41,4169,634,45,8.41,4,3,,2811,0.24,,3,,2,
8989,186531,216252,SCS,S10092019,11,10-Sep-19,1914,,1.62,123,15,46.151,-58.98083,4VN,4VN,41,4169,634,45,8.41,4,3,,9000,4.17,,,,4,
8989,186552,216253,SCS,S10092019,11,10-Sep-19,1914,,1.62,123,15,46.151,-58.98083,4VN,4VN,202,4139,82,28,2.51,0.42,4,,2000,2.09,,,,4,
8989,186541,216254,SCS,S10092019,11,10-Sep-19,1914,,1.62,123,15,46.151,-58.98083,4VN,4VN,201,4160,196,27,5.03,1.93,3,,2811,0.24,,4,,2,
8989,186541,216255,SCS,S10092019,11,10-Sep-19,1914,,1.62,123,15,46.151,-58.98083,4VN,4VN,201,4160,196,27,5.03,1.93,3,,2600,0.94,,5,,2,
8989,186541,216256,SCS,S10092019,11,10-Sep-19,1914,,1.62,123,15,46.151,-58.98083,4VN,4VN,201,4160,196,27,5.03,1.93,3,,9000,1.92,,,,4,
8989,186524,216257,SCS,S10092019,11,10-Sep-19,1914,,1.62,123,15,46.151,-58.98083,4VN,4VN,40,4181,67,26,1.55,0.94,2,,2600,0.24,,1,,2,
8989,186524,216258,SCS,S10092019,11,10-Sep-19,1914,,1.62,123,15,46.151,-58.98083,4VN,4VN,40,4181,67,26,1.55,0.94,2,,2507,0.24,,1,,3,
8989,186492,216259,SCS,S10092019,11,10-Sep-19,1914,,1.62,123,15,46.151,-58.98083,4VN,4VN,10,4115,415,37,15.63,4.91,4,,2507,0.29,,1,,3,
