TRIP_ID,TRIP,BOARD_DATE,SET_NO,STATION,LATITUDE,LONGITUDE,NET_TEMPERATURE,EST_CATCH,SPECCD_ID,EST_NUM_CAUGHT,EST_DISCARD_WT
100049841,S22092017,2017-09-22,8,32,46.1485,58.76667,6.538158741,0.000006,2523,4,1.047
100049841,S22092017,2017-09-22,8,32,46.1485,58.76667,6.538158741,0.000006,2526,2,0.006
100049841,S22092017,2017-09-22,8,32,46.1485,58.76667,6.538158741,0.000006,3100,1,0.1
100049841,S22092017,2017-09-22,8,32,46.1485,58.76667,6.538158741,0.000006,4511,1,0.3
100049841,S22092017,2017-09-22,8,32,46.1485,58.76667,6.538158741,0.000006,4521,4,0.1
100049841,S22092017,2017-09-22,8,32,46.1485,58.76667,6.538158741,0.000006,6100,6,0.1
100049841,S22092017,2017-09-22,8,32,46.1485,58.76667,6.538158741,0.000006,6115,4,0.1
100049841,S22092017,2017-09-22,8,32,46.1485,58.76667,6.538158741,0.000006,6117,10,1.2
100049841,S22092017,2017-09-22,8,32,46.1485,58.76667,6.538158741,0.000006,8300,1,0.1
100049841,S22092017,2017-09-22,8,32,46.1485,58.76667,6.538158741,0.000006,8318,166,0.6
100049841,S22092017,2017-09-22,8,32,46.1485,58.76667,6.538158741,0.000006,9300,25,0.4
100049841,S22092017,2017-09-22,9,206,46.063,58.62167,6.753109929,0.0000001,12,5,2.5
100049841,S22092017,2017-09-22,9,206,46.063,58.62167,6.753109929,0.0000001,14,14,3.1
100049841,S22092017,2017-09-22,9,206,46.063,58.62167,6.753109929,0.0000001,23,483,49
100049841,S22092017,2017-09-22,9,206,46.063,58.62167,6.753109929,0.0000001,41,3,0.6
100049841,S22092017,2017-09-22,9,206,46.063,58.62167,6.753109929,0.0000001,201,1,1.2
100049841,S22092017,2017-09-22,9,206,46.063,58.62167,6.753109929,0.0000001,202,3,1.7
100049841,S22092017,2017-09-22,9,206,46.063,58.62167,6.753109929,0.0000001,410,6,0.2
100049841,S22092017,2017-09-22,9,206,46.063,58.62167,6.753109929,0.0000001,1224,1,0.1
100049841,S22092017,2017-09-22,9,206,46.063,58.62167,6.753109929,0.0000001,2523,3,0.74
100049841,S22092017,2017-09-22,9,206,46.063,58.62167,6.753109929,0.0000001,4511,1,0.2
100049841,S22092017,2017-09-22,9,206,46.063,58.62167,6.753109929,0.0000001,4521,1,0.1
100049841,S22092017,2017-09-22,9,206,46.063,58.62167,6.753109929,0.0000001,6100,12,0.2
100049841,S22092017,2017-09-22,9,206,46.063,58.62167,6.753109929,0.0000001,6119,4,0.1
100049841,S22092017,2017-09-22,9,206,46.063,58.62167,6.753109929,0.0000001,6128,1,0.1
100049841,S22092017,2017-09-22,9,206,46.063,58.62167,6.753109929,0.0000001,6129,3,0.1
100049841,S22092017,2017-09-22,9,206,46.063,58.62167,6.753109929,0.0000001,6413,5,0.1
100049841,S22092017,2017-09-22,9,206,46.063,58.62167,6.753109929,0.0000001,8300,2,0.3
100049841,S22092017,2017-09-22,9,206,46.063,58.62167,6.753109929,0.0000001,8600,2,0.2
100049841,S22092017,2017-09-22,9,206,46.063,58.62167,6.753109929,0.0000001,9300,2,0.1
100049889,S23092017,2017-09-23,1,31,46.0235,58.951,3.197121831,0.00832,10,2,1
100049889,S23092017,2017-09-23,1,31,46.0235,58.951,3.197121831,0.00832,14,1,0.3
100049889,S23092017,2017-09-23,1,31,46.0235,58.951,3.197121831,0.00832,23,1,0.1
100049889,S23092017,2017-09-23,1,31,46.0235,58.951,3.197121831,0.00832,40,19,2.9
100049889,S23092017,2017-09-23,1,31,46.0235,58.951,3.197121831,0.00832,41,16,3.1
100049889,S23092017,2017-09-23,1,31,46.0235,58.951,3.197121831,0.00832,114,1,0.1
100049889,S23092017,2017-09-23,1,31,46.0235,58.951,3.197121831,0.00832,201,2,1.9
100049889,S23092017,2017-09-23,1,31,46.0235,58.951,3.197121831,0.00832,202,1,1
100049889,S23092017,2017-09-23,1,31,46.0235,58.951,3.197121831,0.00832,720,1,0.1
100049889,S23092017,2017-09-23,1,31,46.0235,58.951,3.197121831,0.00832,2211,6,0.1
100049889,S23092017,2017-09-23,1,31,46.0235,58.951,3.197121831,0.00832,2526,85,8.32
100049889,S23092017,2017-09-23,1,31,46.0235,58.951,3.197121831,0.00832,2559,2,0.1
100049889,S23092017,2017-09-23,1,31,46.0235,58.951,3.197121831,0.00832,4210,5,0.1
100049889,S23092017,2017-09-23,1,31,46.0235,58.951,3.197121831,0.00832,4511,1,0.2
100049889,S23092017,2017-09-23,1,31,46.0235,58.951,3.197121831,0.00832,6115,64,0.4
100049889,S23092017,2017-09-23,1,31,46.0235,58.951,3.197121831,0.00832,6121,1,0.1
100049889,S23092017,2017-09-23,1,31,46.0235,58.951,3.197121831,0.00832,8300,8,0.1
100049889,S23092017,2017-09-23,2,34,45.9595,58.83183,3.138898347,0.000077,10,3,1.1
100049889,S23092017,2017-09-23,2,34,45.9595,58.83183,3.138898347,0.000077,14,9,2
100049889,S23092017,2017-09-23,2,34,45.9595,58.83183,3.138898347,0.000077,23,200,61.6
100049889,S23092017,2017-09-23,2,34,45.9595,58.83183,3.138898347,0.000077,40,77,7.2
100049889,S23092017,2017-09-23,2,34,45.9595,58.83183,3.138898347,0.000077,41,190,23.3
100049889,S23092017,2017-09-23,2,34,45.9595,58.83183,3.138898347,0.000077,114,1,0.1
100049889,S23092017,2017-09-23,2,34,45.9595,58.83183,3.138898347,0.000077,201,7,2.2
100049889,S23092017,2017-09-23,2,34,45.9595,58.83183,3.138898347,0.000077,202,8,2
100049889,S23092017,2017-09-23,2,34,45.9595,58.83183,3.138898347,0.000077,400,1,0.1
100049889,S23092017,2017-09-23,2,34,45.9595,58.83183,3.138898347,0.000077,627,2,0.3
100049889,S23092017,2017-09-23,2,34,45.9595,58.83183,3.138898347,0.000077,1224,1,0.1
